OperonID	GI	Synonym	Start	End	Strand	Length	COG_number	Product
1252884	385777566	Clo1313_0185	199730	200359	+	209	-	uracil phosphoribosyltransferase
1252884	385777565	Clo1313_0184	199265	199714	+	149	-	RpiB/LacA/LacB family sugar-phosphate isomerase
1252885	385777571	Clo1313_0190	204305	204526	+	73	-	ATP synthase F0 subunit C
1252885	385777570	Clo1313_0189	203537	204292	+	251	-	ATP synthase F0 subunit A
1252886	385777573	Clo1313_0192	205176	205742	+	188	-	ATP synthase F1 subunit delta
1252886	385777572	Clo1313_0191	204600	205145	+	181	-	ATP synthase F0 subunit B
1252887	385777577	Clo1313_0196	209785	210192	+	135	-	ATP synthase F1 subunit epsilon
1252887	385777576	Clo1313_0195	208378	209772	+	464	-	ATP synthase F1 subunit beta
1252887	385777575	Clo1313_0194	207412	208299	+	295	-	ATP synthase F1 subunit gamma
1252887	385777574	Clo1313_0193	205843	207363	+	506	-	ATP synthase F1 subunit alpha
1252888	385777581	Clo1313_0200	221377	222237	+	286	-	S-layer protein
1252888	385777580	Clo1313_0199	217496	221326	+	1276	-	fibronectin type III domain-containing protein
1252888	385777579	Clo1313_0198	212594	217480	+	1628	-	S-layer protein
1252889	385777589	Clo1313_0208	229865	230665	+	266	-	flagellar hook-basal body protein
1252889	385777588	Clo1313_0207	229072	229851	+	259	-	flagellar hook-basal body protein
1252890	385777591	Clo1313_0210	231135	232283	+	382	-	exopolysaccharide biosynthesis protein
1252890	385777590	Clo1313_0209	230733	231083	+	116	-	Flagellar protein FlgJ-like protein
1252891	385777598	Clo1313_0218	239204	240166	+	320	-	ribose-phosphate pyrophosphokinase
1252891	385777597	Clo1313_0217	237760	239145	+	461	-	UDP-N-acetylglucosamine pyrophosphorylase
1252892	385777600	Clo1313_0220	241027	244563	+	1178	-	transcription-repair coupling factor
1252892	385777599	Clo1313_0219	240430	240999	+	189	-	peptidyl-tRNA hydrolase
1252893	385777603	Clo1313_0223	246162	246776	+	204	-	AraC family transcriptional regulator
1252893	385777602	Clo1313_0222	246085	246183	+	32	-	AraC family transcriptional regulator
1252894	385777618	Clo1313_0238	261091	261918	-	275	-	HpcH/HpaI aldolase
1252894	385777617	Clo1313_0237	260471	261079	-	202	-	sugar transferase
1252894	385777616	Clo1313_0236	259528	260454	-	308	-	ATPase
1252894	385777615	Clo1313_0235	258308	259525	-	405	-	capsular polysaccharide biosynthesis protein
1252894	385777614	Clo1313_0234	257313	258293	-	326	-	NAD-dependent epimerase/dehydratase
1252894	385777613	Clo1313_0233	256128	257297	-	389	-	DegT/DnrJ/EryC1/StrS aminotransferase
1252894	385777612	Clo1313_0232	255077	256123	-	348	-	nucleotidyltransferase
1252894	385777611	Clo1313_0231	254440	255084	-	214	-	sugar O-acyltransferase, sialic acid O-acetyltransferase NeuD family
1252894	385777610	Clo1313_0230	253451	254443	-	330	-	N-acetylneuraminate synthase
1252894	385777609	Clo1313_0229	252279	253454	-	391	-	UDP-N-acetyl-D-glucosamine 2-epimerase
1252894	385777608	Clo1313_0228	251590	252282	-	230	-	acylneuraminate cytidylyltransferase
1252894	385777607	Clo1313_0227	250259	251545	-	428	-	O-antigen polymerase
1252894	385777606	Clo1313_0226	249184	250308	-	374	-	group 1 glycosyl transferase
1252894	385777605	Clo1313_0225	247623	249161	-	512	-	integral membrane protein MviN
1252895	385777623	Clo1313_0243	266188	266898	+	236	-	protein-tyrosine-phosphatase
1252895	385777622	Clo1313_0242	265446	266195	+	249	-	capsular exopolysaccharide family protein
1252895	385777621	Clo1313_0241	264762	265433	+	223	-	lipopolysaccharide biosynthesis protein
1252896	385777629	Clo1313_0249	270046	270555	+	169	-	spore cortex biosynthesis protein YabQ
1252896	385777628	Clo1313_0248	269741	270031	+	96	-	sporulation protein YabP
1252897	385777641	Clo1313_0262	284316	284585	+	89	-	50S ribosomal protein L7/L12
1252897	385777640	Clo1313_0261	284073	284234	+	53	-	hypothetical protein
1252898	385777646	Clo1313_0269	290076	291161	-	361	-	hypothetical protein
1252898	385777645	Clo1313_0268	289538	290071	-	177	-	hypothetical protein
1252899	385777660	Clo1313_0283	307991	309094	+	367	-	group 1 glycosyl transferase
1252899	385777659	Clo1313_0282	307406	307942	+	178	-	galactoside O-acetyltransferase
1252899	385777658	Clo1313_0281	306487	307392	+	301	-	UbiA prenyltransferase
1252900	385777662	Clo1313_0285	309646	311244	+	532	-	O-antigen polymerase
1252900	385777661	Clo1313_0284	309142	309639	+	165	-	hypothetical protein
1252901	385777665	Clo1313_0288	313640	314815	+	391	-	alanine racemase
1252901	385777664	Clo1313_0287	312033	313580	+	515	-	carbohydrate kinase
1252901	385777663	Clo1313_0286	311359	311991	+	210	-	hypothetical protein
1252902	385777668	Clo1313_0291	315975	316472	+	165	-	hypothetical protein
1252902	385777667	Clo1313_0290	315604	315954	+	116	-	transcriptional modulator of MazE/toxin MazF
1252902	385777666	Clo1313_0289	315327	315614	+	95	-	CopG family transcriptional regulator
1252903	385777670	Clo1313_0293	317518	319755	-	745	-	polysaccharide pyruvyl transferase CsaB
1252903	385777669	Clo1313_0292	316738	317487	-	249	-	WecB/TagA/CpsF family glycosyl transferase
1252904	385777673	Clo1313_0296	321949	322884	+	311	-	transketolase
1252904	385777672	Clo1313_0295	321102	321947	+	281	-	transketolase
1252905	385777677	Clo1313_0300	326511	327989	+	492	-	hypothetical protein
1252905	385777676	Clo1313_0299	325093	326514	+	473	-	ABC transporter
1252905	385777675	Clo1313_0298	324364	325086	+	240	-	ABC transporter
1252905	385777674	Clo1313_0297	323255	324364	+	369	-	ABC transporter
1252906	385777680	Clo1313_0303	330456	331175	+	239	-	colicin V production protein
1252906	385777679	Clo1313_0302	329257	330438	+	393	-	hypothetical protein
1252907	385777682	Clo1313_0305	333180	334847	+	555	-	acetolactate synthase large subunit
1252907	385777681	Clo1313_0304	331447	333111	+	554	-	dihydroxy-acid dehydratase
1252908	385777685	Clo1313_0308	335658	336191	+	177	-	NusG antitermination factor
1252908	385777684	Clo1313_0307	335360	335602	+	80	-	preprotein translocase subunit SecE
1252909	385777687	Clo1313_0310	336859	337554	+	231	-	50S ribosomal protein L1
1252909	385777686	Clo1313_0309	336333	336758	+	141	-	50S ribosomal protein L11
1252910	385777689	Clo1313_0312	338451	338840	+	129	-	50S ribosomal protein L7/L12
1252910	385777688	Clo1313_0311	337827	338363	+	178	-	50S ribosomal protein L10
1252911	385777691	Clo1313_0314	343109	346606	+	1165	-	DNA-directed RNA polymerase subunit beta'
1252911	385777690	Clo1313_0313	339339	343091	+	1250	-	DNA-directed RNA polymerase subunit beta
1252912	385777696	Clo1313_0319	350435	351637	+	400	-	translation elongation factor Tu
1252912	385777695	Clo1313_0318	348226	350319	+	697	-	translation elongation factor G
1252912	385777694	Clo1313_0317	347683	348153	+	156	-	30S ribosomal protein S7
1252913	385777698	Clo1313_0321	352494	353096	+	200	-	hypothetical protein
1252913	385777697	Clo1313_0320	351943	352497	+	184	-	ECF subfamily RNA polymerase sigma-24 subunit
1252914	385777700	Clo1313_0323	353618	354457	+	279	-	VanW family protein
1252914	385777699	Clo1313_0322	353207	353581	+	124	-	hypothetical protein
1252915	385777704	Clo1313_0327	358550	359257	+	235	-	metallophosphoesterase
1252915	385777703	Clo1313_0326	356666	358543	+	625	-	excinuclease ABC subunit C
1252915	385777702	Clo1313_0325	354906	356660	+	584	-	phosphoenolpyruvate-protein phosphotransferase
1252915	385777701	Clo1313_0324	354633	354902	+	89	-	phosphotransferase system, phosphocarrier protein HPr
1252916	385777707	Clo1313_0330	361429	362724	+	431	-	ATP-dependent Clp protease ATP-binding subunit ClpX
1252916	385777706	Clo1313_0329	360831	361415	+	194	-	ATP-dependent Clp protease, proteolytic subunit ClpP
1252916	385777705	Clo1313_0328	359475	360761	+	428	-	trigger factor
1252917	385777713	Clo1313_0336	368673	369521	+	282	-	PHP domain-containing protein
1252917	385777712	Clo1313_0335	368143	368613	+	156	-	hypothetical protein
1252918	385777719	Clo1313_0342	374081	374293	+	70	-	hypothetical protein
1252918	385777718	Clo1313_0341	372739	374070	+	443	-	hypothetical protein
1252919	385777721	Clo1313_0344	375143	375964	+	273	-	ADP-ribosylation/Crystallin J1
1252919	385777720	Clo1313_0343	374388	375104	+	238	-	beta-lactamase domain-containing protein
1252920	385777728	Clo1313_0352	387139	388191	+	350	-	hypothetical protein
1252920	385777727	Clo1313_0351	385818	387155	+	445	-	transcriptional regulator-like protein
1252921	385777731	Clo1313_0355	391714	391953	+	79	-	hypothetical protein
1252921	385777730	Clo1313_0354	390121	391701	+	526	-	hypothetical protein
1252921	385777729	Clo1313_0353	388646	390109	+	487	-	TROVE domain-containing protein
1252922	385777733	Clo1313_0357	393473	396085	+	870	-	metallophosphoesterase
1252922	385777732	Clo1313_0356	392079	393476	+	465	-	type 12 methyltransferase
1252923	385777735	Clo1313_0359	396925	398154	-	409	-	flavodoxin/nitric oxide synthase
1252923	385777734	Clo1313_0358	396201	396902	-	233	-	iron-sulfur cluster repair di-iron protein
1252924	385777739	Clo1313_0363	400142	400285	+	47	-	hypothetical protein
1252924	385777738	Clo1313_0362	399931	400050	+	39	-	hypothetical protein
1252924	385777737	Clo1313_0361	399249	399869	+	206	-	hypothetical protein
1252925	385777741	Clo1313_0365	401447	402469	+	340	-	cytidyltransferase
1252925	385777740	Clo1313_0364	400750	401454	+	234	-	nicotinamide mononucleotide transporter PnuC
1252926	385777743	Clo1313_0367	403020	403205	+	61	-	hypothetical protein
1252926	385777742	Clo1313_0366	402570	402956	+	128	-	hypothetical protein
1252927	385777765	Clo1313_0389	421564	422745	+	393	-	class I and II aminotransferase
1252927	385777764	Clo1313_0388	420393	421553	+	386	-	Cys/Met metabolism pyridoxal-phosphate-dependent protein
1252927	385777763	Clo1313_0387	419993	420373	+	126	-	endoribonuclease L-PSP
1252927	385777762	Clo1313_0386	419668	419880	+	70	-	hypothetical protein
1252927	385777761	Clo1313_0385	418668	419573	+	301	-	thiamine pyrophosphate TPP-binding domain-containing protein
1252927	385777760	Clo1313_0384	417488	418675	+	395	-	pyruvate flavodoxin/ferredoxin oxidoreductase domain-containing protein
1252927	385777759	Clo1313_0383	417187	417498	+	103	-	pyruvate ferredoxin/flavodoxin oxidoreductase subunit delta
1252927	385777758	Clo1313_0382	416645	417190	+	181	-	pyruvate/ketoisovalerate oxidoreductase subunit gamma
1252927	385777757	Clo1313_0381	415476	416648	+	390	-	class I and II aminotransferase
1252927	385777756	Clo1313_0380	414149	415471	+	440	-	phenylacetate--CoA ligase
1252927	385777755	Clo1313_0379	413222	414130	+	302	-	binding-protein-dependent transport system inner membrane protein
1252927	385777754	Clo1313_0378	412390	413196	+	268	-	ABC transporter
1252927	385777753	Clo1313_0377	411292	412374	+	360	-	family 3 extracellular solute-binding protein
1252927	385777752	Clo1313_0376	410606	411262	+	218	-	hypothetical protein
1252927	385777751	Clo1313_0375	408916	410592	+	558	-	ferredoxin
1252927	385777750	Clo1313_0374	407889	408956	+	355	-	MtaA/CmuA family methyltransferase
1252927	385777749	Clo1313_0373	406734	407852	+	372	-	MtaA/CmuA family methyltransferase
1252927	385777748	Clo1313_0372	406079	406744	+	221	-	cobalamin B12-binding domain-containing protein
1252928	385777769	Clo1313_0393	426731	427501	+	256	-	ABC transporter
1252928	385777768	Clo1313_0392	425950	426729	+	259	-	binding-protein-dependent transport system inner membrane protein
1252928	385777767	Clo1313_0391	424967	425950	+	327	-	family 3 extracellular solute-binding protein
1252928	385777766	Clo1313_0390	422896	424908	+	670	-	carbon-monoxide dehydrogenase, catalytic subunit
1252929	385777778	Clo1313_0402	444081	446120	+	679	-	integral membrane sensor signal transduction histidine kinase
1252929	385777777	Clo1313_0401	443411	444106	+	231	-	winged helix family two component transcriptional regulator
1252930	385777784	Clo1313_0409	456959	458053	+	364	-	response regulator receiver modulated CheB methylesterase
1252930	385777783	Clo1313_0408	456147	456980	+	277	-	chemotaxis protein CheR
1252930	385777782	Clo1313_0407	451610	456034	+	1474	-	methyl-accepting chemotaxis sensory transducer
1252930	385777781	Clo1313_0406	449768	451576	+	602	-	CheA signal transduction histidine kinase
1252930	385777780	Clo1313_0405	449327	449752	+	141	-	CheW protein
1252931	385777787	Clo1313_0412	461116	461628	+	170	-	TipAS antibiotic-recognition domain-containing protein
1252931	385777786	Clo1313_0411	459775	461076	+	433	-	hypothetical protein
1252932	385777798	Clo1313_0423	477973	479280	+	435	-	histidinol dehydrogenase
1252932	385777797	Clo1313_0422	477326	477967	+	213	-	ATP phosphoribosyltransferase
1252932	385777796	Clo1313_0421	476052	477308	+	418	-	histidyl-tRNA synthetase 2
1252933	385777806	Clo1313_0431	485243	486412	+	389	-	transcriptional regulator
1252933	385777805	Clo1313_0430	484557	485219	+	220	-	phosphoribosyl-ATP diphosphatase
1252933	385777804	Clo1313_0429	483774	484535	+	253	-	Imidazole glycerol phosphate synthase cyclase subunit
1252933	385777803	Clo1313_0428	483048	483761	+	237	-	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase
1252933	385777802	Clo1313_0427	482360	482980	+	206	-	imidazole glycerol phosphate synthase, glutamine amidotransferase subunit
1252933	385777801	Clo1313_0426	481394	482278	+	294	-	phosphoribosylaminoimidazole succinocarboxamide synthase
1252933	385777800	Clo1313_0425	480704	481291	+	195	-	imidazoleglycerol-phosphate dehydratase
1252933	385777799	Clo1313_0424	479515	480591	+	358	-	histidinol-phosphate aminotransferase
1252934	385777808	Clo1313_0433	486968	488593	+	541	-	chaperonin GroEL
1252934	385777807	Clo1313_0432	486635	486919	+	94	-	chaperonin Cpn10
1252935	385777810	Clo1313_0435	489933	490463	+	176	-	hypothetical protein
1252935	385777809	Clo1313_0434	488844	489899	+	351	-	type IV pilus assembly PilZ
1252936	385777816	Clo1313_0441	495245	496003	+	252	-	sigma-B/F/G subfamily RNA polymerase sigma-28 factor
1252936	385777815	Clo1313_0440	494850	495242	+	130	-	anti-sigma regulatory factor
1252936	385777814	Clo1313_0439	494523	494837	+	104	-	anti-sigma-factor antagonist
1252937	385777845	Clo1313_0470	515490	515603	+	37	-	50S ribosomal protein L36
1252937	385777844	Clo1313_0469	515252	515470	+	72	-	translation initiation factor IF-1
1252937	385777843	Clo1313_0468	514938	515210	+	90	-	hypothetical protein
1252937	385777842	Clo1313_0467	514136	514906	+	256	-	methionine aminopeptidase
1252937	385777841	Clo1313_0466	513486	514139	+	217	-	adenylate kinase
1252937	385777840	Clo1313_0465	512139	513422	+	427	-	preprotein translocase subunit SecY
1252937	385777839	Clo1313_0464	511697	512137	+	146	-	50S ribosomal protein L15
1252937	385777838	Clo1313_0463	511503	511682	+	59	-	50S ribosomal protein L30
1252937	385777837	Clo1313_0462	510990	511490	+	166	-	30S ribosomal protein S5
1252937	385777836	Clo1313_0461	510602	510970	+	122	-	50S ribosomal protein L18
1252937	385777835	Clo1313_0460	510035	510586	+	183	-	50S ribosomal protein L6
1252937	385777834	Clo1313_0459	509563	509961	+	132	-	30S ribosomal protein S8
1252937	385777833	Clo1313_0458	509351	509536	+	61	-	30S ribosomal protein S14
1252937	385777832	Clo1313_0457	508793	509335	+	180	-	50S ribosomal protein L5
1252937	385777831	Clo1313_0456	508411	508761	+	116	-	50S ribosomal protein L24
1252937	385777830	Clo1313_0455	508024	508392	+	122	-	50S ribosomal protein L14
1252937	385777829	Clo1313_0454	507742	507999	+	85	-	30S ribosomal protein S17
1252937	385777828	Clo1313_0453	507512	507715	+	67	-	50S ribosomal protein L29
1252937	385777827	Clo1313_0452	507085	507522	+	145	-	50S ribosomal protein L16
1252937	385777826	Clo1313_0451	506418	507098	+	226	-	30S ribosomal protein S3
1252937	385777825	Clo1313_0450	505922	506398	+	158	-	50S ribosomal protein L22
1252937	385777824	Clo1313_0449	505607	505891	+	94	-	30S ribosomal protein S19
1252937	385777823	Clo1313_0448	504723	505550	+	275	-	50S ribosomal protein L2
1252937	385777822	Clo1313_0447	504326	504679	+	117	-	50S ribosomal protein L25
1252937	385777821	Clo1313_0446	503700	504326	+	208	-	50S ribosomal protein L4
1252937	385777820	Clo1313_0445	503038	503676	+	212	-	50S ribosomal protein L3
1252937	385777819	Clo1313_0444	502624	502935	+	103	-	30S ribosomal protein S10
1252937	385777818	Clo1313_0443	502368	502526	+	52	-	hypothetical protein
1252938	385777848	Clo1313_0473	516766	517392	+	208	-	30S ribosomal protein S4
1252938	385777847	Clo1313_0472	516310	516714	+	134	-	30S ribosomal protein S11
1252938	385777846	Clo1313_0471	515917	516288	+	123	-	30S ribosomal protein S13
1252939	385777856	Clo1313_0481	526559	526837	-	92	-	hypothetical protein
1252939	385777855	Clo1313_0480	524576	526447	-	623	-	DNA methylase N-4/N-6 domain-containing protein
1252939	385777854	Clo1313_0479	523416	524579	-	387	-	hypothetical protein
1252939	385777853	Clo1313_0478	520891	523416	-	841	-	type III restriction protein res subunit
1252940	385777859	Clo1313_0484	529609	529992	+	127	-	hypothetical protein
1252940	385777858	Clo1313_0483	529341	529607	+	88	-	LuxR family transcriptional regulator
1252941	385777861	Clo1313_0486	531534	533240	+	568	-	resolvase domain-containing protein
1252941	385777860	Clo1313_0485	530210	531529	+	439	-	copper amine oxidase-like domain-containing protein
1252942	385777865	Clo1313_0490	536354	537088	+	244	-	tRNA pseudouridine synthase A
1252942	385777864	Clo1313_0489	535317	536270	+	317	-	ROK family glucokinase
1252942	385777863	Clo1313_0488	534437	535246	+	269	-	cobalt transport protein
1252942	385777862	Clo1313_0487	533584	534429	+	281	-	ABC transporter
1252943	385777869	Clo1313_0494	539663	540880	+	405	-	ABC transporter
1252943	385777868	Clo1313_0493	538942	539697	+	251	-	ABC transporter
1252943	385777867	Clo1313_0492	538180	538893	+	237	-	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
1252944	385777871	Clo1313_0496	542984	544834	+	616	-	histidine kinase
1252944	385777870	Clo1313_0495	541149	542963	+	604	-	integral membrane sensor signal transduction histidine kinase
1252945	385777885	Clo1313_0514	566726	567649	-	307	-	binding-protein-dependent transport system inner membrane protein
1252945	385777884	Clo1313_0513	565628	566683	-	351	-	binding-protein-dependent transport system inner membrane protein
1252945	385777883	Clo1313_0512	564541	565557	-	338	-	oligopeptide/dipeptide ABC transporter ATPase
1252945	385777882	Clo1313_0511	563526	564554	-	342	-	oligopeptide/dipeptide ABC transporter ATPase
1252946	385777891	Clo1313_0520	572846	573457	+	203	-	hypothetical protein
1252946	385777890	Clo1313_0519	571998	572849	+	283	-	ABC transporter
1252946	385777889	Clo1313_0518	571619	571993	+	124	-	GntR family transcriptional regulator
1252947	385777893	Clo1313_0522	575610	576983	-	457	-	glycoside hydrolase
1252947	385777892	Clo1313_0521	573532	575583	-	683	-	glycoside hydrolase
1252948	385777896	Clo1313_0525	579294	580058	-	254	-	RNA polymerase, sigma 28 subunit, SigI
