# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	11323	12594	+	ADU73111.1			seryl-tRNA synthetase			Clo1313_0011	1272	423	
gene	tRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	12849	12939	+							Clo1313_R0001	91		
tRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	12849	12939	+				tRNA-Ser			Clo1313_R0001	91		
gene	tRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	12969	13062	+							Clo1313_R0002	94		
tRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	12969	13062	+				tRNA-Ser			Clo1313_R0002	94		
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	13113	14513	-							Clo1313_0012	1401		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	13113	14513	-	ADU73112.1			major facilitator superfamily MFS_1			Clo1313_0012	1401	466	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	14850	15764	-							Clo1313_0013	915		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	14850	15764	-	ADU73113.1			copper amine oxidase-like domain-containing protein			Clo1313_0013	915	304	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	16039	16608	-							Clo1313_0014	570		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	16039	16608	-	ADU73114.1			S-layer domain-containing protein			Clo1313_0014	570	189	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	16820	17353	+							Clo1313_0015	534		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	16820	17353	+	ADU73115.1			hypothetical protein			Clo1313_0015	534	177	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	17463	19172	-							Clo1313_0016	1710		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	17463	19172	-	ADU73116.1			VanW family protein			Clo1313_0016	1710	569	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	19517	20788	-							Clo1313_0017	1272		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	19517	20788	-	ADU73117.1			peptidase M14 carboxypeptidase A			Clo1313_0017	1272	423	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	20974	21297	+							Clo1313_0018	324		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	20974	21297	+	ADU73118.1			hypothetical protein			Clo1313_0018	324	107	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	21451	21729	+							Clo1313_0019	279		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	21451	21729	+	ADU73119.1			pro-sigmaK processing inhibitor BofA			Clo1313_0019	279	92	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	22030	22608	+							Clo1313_0020	579		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	22030	22608	+	ADU73120.1			pyruvate/ketoisovalerate oxidoreductase, gamma subunit			Clo1313_0020	579	192	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	22605	22910	+							Clo1313_0021	306		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	22605	22910	+	ADU73121.1			pyruvate ferredoxin/flavodoxin oxidoreductase, delta subunit			Clo1313_0021	306	101	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	22927	24111	+							Clo1313_0022	1185		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	22927	24111	+	ADU73122.1			pyruvate flavodoxin/ferredoxin oxidoreductase domain protein			Clo1313_0022	1185	394	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	24124	25059	+							Clo1313_0023	936		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	24124	25059	+	ADU73123.1			thiamine pyrophosphate TPP-binding domain-containing protein			Clo1313_0023	936	311	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	25190	25312	-							Clo1313_0024	123		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	25190	25312	-	ADU73124.1			putative lipoprotein			Clo1313_0024	123	40	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	25455	26294	-							Clo1313_0025	840		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	25455	26294	-	ADU73125.1			hypothetical protein			Clo1313_0025	840	279	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	26384	27103	-							Clo1313_0026	720		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	26384	27103	-	ADU73126.1			helix-turn-helix domain protein			Clo1313_0026	720	239	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	27771	28034	+							Clo1313_0027	264		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	27771	28034	+	ADU73127.1			hypothetical protein			Clo1313_0027	264	87	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	28210	29430	+							Clo1313_0028	1221		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	28210	29430	+	ADU73128.1			glycosyl transferase family 39			Clo1313_0028	1221	406	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	29572	30561	+							Clo1313_0029	990		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	29572	30561	+	ADU73129.1			spore coat protein, CotS family			Clo1313_0029	990	329	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	30673	32343	-							Clo1313_0030	1671		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	30673	32343	-	ADU73130.1			Formate--tetrahydrofolate ligase			Clo1313_0030	1671	556	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	32510	33385	+							Clo1313_0031	876		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	32510	33385	+	ADU73131.1			sporulation peptidase YabG			Clo1313_0031	876	291	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	33620	33886	+							Clo1313_0032	267		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	33620	33886	+	ADU73132.1			protein of unknown function DUF1021			Clo1313_0032	267	88	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	34163	35731	+							Clo1313_0033	1569		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	34163	35731	+	ADU73133.1			Peptidoglycan-binding lysin domain			Clo1313_0033	1569	522	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	35989	36825	+							Clo1313_0034	837		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	35989	36825	+	ADU73134.1			4-diphosphocytidyl-2C-methyl-D-erythritol kinase			Clo1313_0034	837	278	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	36932	37624	+							Clo1313_0035	693		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	36932	37624	+	ADU73135.1			transcriptional regulator, GntR family			Clo1313_0035	693	230	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	37635	37841	-							Clo1313_0036	207		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	37635	37841	-	ADU73136.1			Heavy metal transport/detoxification protein			Clo1313_0036	207	68	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	38050	38562	+							Clo1313_0037	513		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	38050	38562	+	ADU73137.1			hypothetical protein			Clo1313_0037	513	170	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	38642	40264	+							Clo1313_0038	1623		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	38642	40264	+	ADU73138.1			AAA ATPase central domain protein			Clo1313_0038	1623	540	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	40359	41087	+							Clo1313_0039	729		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	40359	41087	+	ADU73139.1			PspA/IM30 family protein			Clo1313_0039	729	242	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	41153	41959	+							Clo1313_0040	807		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	41153	41959	+	ADU73140.1			hypothetical protein			Clo1313_0040	807	268	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	42139	43731	+							Clo1313_0041	1593		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	42139	43731	+	ADU73141.1			protein of unknown function DUF342			Clo1313_0041	1593	530	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	43827	44972	+							Clo1313_0042	1146		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	43827	44972	+	ADU73142.1			metallophosphoesterase			Clo1313_0042	1146	381	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	45034	47685	+							Clo1313_0043	2652		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	45034	47685	+	ADU73143.1			SMC domain protein			Clo1313_0043	2652	883	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	47746	48768	+							Clo1313_0044	1023		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	47746	48768	+	ADU73144.1			NLP/P60 protein			Clo1313_0044	1023	340	
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	48739	49890	-							Clo1313_0045	1152		pseudo
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	50121	50822	+							Clo1313_0046	702		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	50121	50822	+	ADU73145.1			spore cortex-lytic enzyme			Clo1313_0046	702	233	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	50866	52260	+							Clo1313_0047	1395		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	50866	52260	+	ADU73146.1			germination protein YpeB			Clo1313_0047	1395	464	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	52424	53512	+							Clo1313_0048	1089		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	52424	53512	+	ADU73147.1			Abortive infection protein			Clo1313_0048	1089	362	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	53564	54607	-							Clo1313_0049	1044		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	53564	54607	-	ADU73148.1			AAA ATPase			Clo1313_0049	1044	347	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	54692	55618	-							Clo1313_0050	927		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	54692	55618	-	ADU73149.1			primosome, DnaD subunit			Clo1313_0050	927	308	
gene	tRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	55857	55933	+							Clo1313_R0003	77		
tRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	55857	55933	+				tRNA-Arg			Clo1313_R0003	77		
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	56185	57966	+							Clo1313_0051	1782		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	56185	57966	+	ADU73150.1			metal dependent phosphohydrolase			Clo1313_0051	1782	593	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	57997	58245	+							Clo1313_0052	249		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	57997	58245	+	ADU73151.1			hypothetical protein			Clo1313_0052	249	82	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	58408	59481	-							Clo1313_0053	1074		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	58408	59481	-	ADU73152.1			hypothetical protein			Clo1313_0053	1074	357	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	59659	62664	-							Clo1313_0054	3006		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	59659	62664	-	ADU73153.1			type 3a cellulose-binding domain protein			Clo1313_0054	3006	1001	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	62788	63618	-							Clo1313_0055	831		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	62788	63618	-	ADU73154.1			copper amine oxidase-like domain-containing protein			Clo1313_0055	831	276	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	64077	64916	+							Clo1313_0056	840		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	64077	64916	+	ADU73155.1			MotA/TolQ/ExbB proton channel			Clo1313_0056	840	279	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	64930	65730	+							Clo1313_0057	801		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	64930	65730	+	ADU73156.1			OmpA/MotB domain protein			Clo1313_0057	801	266	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	65996	66952	+							Clo1313_0058	957		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	65996	66952	+	ADU73157.1			protein of unknown function DUF1385			Clo1313_0058	957	318	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	66965	67873	+							Clo1313_0059	909		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	66965	67873	+	ADU73158.1			protein-(glutamine-N5) methyltransferase, release factor-specific			Clo1313_0059	909	302	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	67870	68940	-							Clo1313_0060	1071		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	67870	68940	-	ADU73159.1			sporulation integral membrane protein YtvI			Clo1313_0060	1071	356	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	69547	70866	+							Clo1313_0061	1320		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	69547	70866	+	ADU73160.1			electron transport complex, RnfABCDGE type, C subunit			Clo1313_0061	1320	439	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	70868	71833	+							Clo1313_0062	966		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	70868	71833	+	ADU73161.1			electron transport complex, RnfABCDGE type, D subunit			Clo1313_0062	966	321	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	71817	72410	+							Clo1313_0063	594		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	71817	72410	+	ADU73162.1			electron transport complex, RnfABCDGE type, G subunit			Clo1313_0063	594	197	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	72413	73069	+							Clo1313_0064	657		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	72413	73069	+	ADU73163.1			electron transport complex, RnfABCDGE type, E subunit			Clo1313_0064	657	218	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	73075	73662	+							Clo1313_0065	588		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	73075	73662	+	ADU73164.1			electron transport complex, RnfABCDGE type, A subunit			Clo1313_0065	588	195	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	73701	74504	+							Clo1313_0066	804		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	73701	74504	+	ADU73165.1			electron transport complex, RnfABCDGE type, B subunit			Clo1313_0066	804	267	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	74595	74831	-							Clo1313_0067	237		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	74595	74831	-	ADU73166.1			hypothetical protein			Clo1313_0067	237	78	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	75009	75518	+							Clo1313_0068	510		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	75009	75518	+	ADU73167.1			shikimate kinase			Clo1313_0068	510	169	
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	75753	75995	+							Clo1313_0069	243		pseudo
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	76031	76510	+							Clo1313_0070	480		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	76031	76510	+	ADU73168.1			GCN5-related N-acetyltransferase			Clo1313_0070	480	159	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	76664	77089	+							Clo1313_0071	426		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	76664	77089	+	ADU73169.1			hypothetical protein			Clo1313_0071	426	141	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	77161	77964	-							Clo1313_0072	804		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	77161	77964	-	ADU73170.1			transcriptional regulator, DeoR family			Clo1313_0072	804	267	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	78258	79742	+							Clo1313_0073	1485		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	78258	79742	+	ADU73171.1			Carbohydrate kinase, FGGY-like protein			Clo1313_0073	1485	494	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	79748	80584	+							Clo1313_0074	837		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	79748	80584	+	ADU73172.1			Transketolase domain-containing protein			Clo1313_0074	837	278	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	80581	81522	+							Clo1313_0075	942		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	80581	81522	+	ADU73173.1			Transketolase domain-containing protein			Clo1313_0075	942	313	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	81603	82646	+							Clo1313_0076	1044		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	81603	82646	+	ADU73174.1			Alcohol dehydrogenase GroES domain protein			Clo1313_0076	1044	347	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	82829	83947	+							Clo1313_0077	1119		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	82829	83947	+	ADU73175.1			hypothetical protein			Clo1313_0077	1119	372	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	83949	85436	+							Clo1313_0078	1488		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	83949	85436	+	ADU73176.1			ABC transporter related protein			Clo1313_0078	1488	495	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	85455	86438	+							Clo1313_0079	984		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	85455	86438	+	ADU73177.1			inner-membrane translocator			Clo1313_0079	984	327	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	86440	87054	+							Clo1313_0080	615		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	86440	87054	+	ADU73178.1			Phosphoglycerate mutase			Clo1313_0080	615	204	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	87787	91050	-							Clo1313_0081	3264		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	87787	91050	-	ADU73179.1			SNF2 helicase associated domain protein			Clo1313_0081	3264	1087	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	91265	93073	-							Clo1313_0082	1809		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	91265	93073	-	ADU73180.1			oligoendopeptidase F			Clo1313_0082	1809	602	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	93126	93482	-							Clo1313_0083	357		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	93126	93482	-	ADU73181.1			MazG nucleotide pyrophosphohydrolase			Clo1313_0083	357	118	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	93693	96821	-							Clo1313_0084	3129		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	93693	96821	-	ADU73182.1			S-layer domain-containing protein			Clo1313_0084	3129	1042	
gene	tRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	97014	97090	+							Clo1313_R0004	77		
tRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	97014	97090	+				tRNA-Arg			Clo1313_R0004	77		
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	97366	97851	+							Clo1313_0085	486		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	97366	97851	+	ADU73183.1			CMP/dCMP deaminase zinc-binding protein			Clo1313_0085	486	161	
gene	tRNA	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	97956	98046	+							Clo1313_R0005	91		
tRNA		GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	97956	98046	+				tRNA-Ser			Clo1313_R0005	91		
gene	pseudogene	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	98094	98255	+							Clo1313_0086	162		pseudo
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	98287	98895	+							Clo1313_0087	609		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	98287	98895	+	ADU73184.1			Cupin 2 conserved barrel domain protein			Clo1313_0087	609	202	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	98924	100213	-							Clo1313_0088	1290		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	98924	100213	-	ADU73185.1			3D domain-containing protein			Clo1313_0088	1290	429	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	100258	101286	-							Clo1313_0089	1029		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	100258	101286	-	ADU73186.1			transcriptional regulator, LacI family			Clo1313_0089	1029	342	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	101772	104951	+							Clo1313_0090	3180		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	101772	104951	+	ADU73187.1			S-layer domain-containing protein			Clo1313_0090	3180	1059	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	105136	105951	+							Clo1313_0091	816		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	105136	105951	+	ADU73188.1			peptidase U57 YabG			Clo1313_0091	816	271	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	106095	108053	+							Clo1313_0092	1959		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	106095	108053	+	ADU73189.1			DNA topoisomerase type IA central domain protein			Clo1313_0092	1959	652	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	108303	109160	+							Clo1313_0093	858		
CDS	with_protein	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	108303	109160	+	ADU73190.1			protein of unknown function DUF368			Clo1313_0093	858	285	
gene	protein_coding	GCA_000184925.1	Primary Assembly	chromosome		CP002416.1	109591	110439	+							Clo1313_0094	849		
