# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	11323	12594	+	WP_003513301.1	WP_003513301.1		serine--tRNA ligase			CLO1313_RS00060	1272	423	
gene	tRNA	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	12849	12939	+							CLO1313_RS00065	91		old_locus_tag=Clo1313_R0001
tRNA		GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	12849	12939	+				tRNA-Ser			CLO1313_RS00065	91		anticodon=TGA
gene	tRNA	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	12969	13062	+							CLO1313_RS00070	94		old_locus_tag=Clo1313_R0002
tRNA		GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	12969	13062	+				tRNA-Ser			CLO1313_RS00070	94		anticodon=GCT
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	13113	14513	-							CLO1313_RS00075	1401		old_locus_tag=Clo1313_0012
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	13113	14513	-	WP_003513299.1	WP_003513299.1		MFS transporter			CLO1313_RS00075	1401	466	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	14850	15764	-							CLO1313_RS00080	915		old_locus_tag=Clo1313_0013
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	14850	15764	-	WP_003516462.1	WP_003516462.1		copper amine oxidase			CLO1313_RS00080	915	304	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	16039	16608	-							CLO1313_RS00085	570		old_locus_tag=Clo1313_0014
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	16039	16608	-	WP_003513296.1	WP_003513296.1		S-layer homology domain-containing protein			CLO1313_RS00085	570	189	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	16820	17353	+							CLO1313_RS00090	534		old_locus_tag=Clo1313_0015
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	16820	17353	+	WP_003513294.1	WP_003513294.1		hypothetical protein			CLO1313_RS00090	534	177	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	17463	19172	-							CLO1313_RS00095	1710		old_locus_tag=Clo1313_0016
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	17463	19172	-	WP_003516459.1	WP_003516459.1		vanomycin resistance protein VanB			CLO1313_RS00095	1710	569	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	19517	20788	-							CLO1313_RS00100	1272		old_locus_tag=Clo1313_0017
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	19517	20788	-	WP_003516457.1	WP_003516457.1		LysM peptidoglycan-binding domain-containing protein			CLO1313_RS00100	1272	423	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	20974	21297	+							CLO1313_RS00105	324		old_locus_tag=Clo1313_0018
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	20974	21297	+	WP_003513286.1	WP_003513286.1		DUF2508 domain-containing protein			CLO1313_RS00105	324	107	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	21451	21729	+							CLO1313_RS00110	279		old_locus_tag=Clo1313_0019
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	21451	21729	+	WP_003513284.1	WP_003513284.1		pro-sigmaK processing inhibitor BofA			CLO1313_RS00110	279	92	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	22030	22608	+							CLO1313_RS00115	579		old_locus_tag=Clo1313_0020
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	22030	22608	+	WP_003513282.1	WP_003513282.1		pyruvate synthase			CLO1313_RS00115	579	192	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	22605	22910	+							CLO1313_RS00120	306		old_locus_tag=Clo1313_0021
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	22605	22910	+	WP_003516455.1	WP_003516455.1		4Fe-4S dicluster domain-containing protein			CLO1313_RS00120	306	101	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	22927	24111	+					porA		CLO1313_RS00125	1185		old_locus_tag=Clo1313_0022
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	22927	24111	+	WP_003516452.1	WP_003516452.1		2-ketoisovalerate ferredoxin oxidoreductase subunit alpha	porA		CLO1313_RS00125	1185	394	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	24124	25059	+							CLO1313_RS00130	936		old_locus_tag=Clo1313_0023
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	24124	25059	+	WP_003513279.1	WP_003513279.1		thiamine pyrophosphate protein TPP-binding			CLO1313_RS00130	936	311	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	25190	25312	-							CLO1313_RS15480	123		old_locus_tag=Clo1313_0024
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	25190	25312	-	WP_003513278.1	WP_003513278.1		cyclic lactone autoinducer peptide			CLO1313_RS15480	123	40	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	25455	26294	-							CLO1313_RS00135	840		old_locus_tag=Clo1313_0025
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	25455	26294	-	WP_003513277.1	WP_003513277.1		hypothetical protein			CLO1313_RS00135	840	279	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	26384	27103	-							CLO1313_RS00140	720		old_locus_tag=Clo1313_0026
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	26384	27103	-	WP_003513275.1	WP_003513275.1		XRE family transcriptional regulator			CLO1313_RS00140	720	239	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	27771	28034	+							CLO1313_RS00145	264		old_locus_tag=Clo1313_0027
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	27771	28034	+	WP_003513273.1	WP_003513273.1		hypothetical protein			CLO1313_RS00145	264	87	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	28210	29430	+							CLO1313_RS00150	1221		old_locus_tag=Clo1313_0028
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	28210	29430	+	WP_003519977.1	WP_003519977.1		glycosyl transferase family 39			CLO1313_RS00150	1221	406	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	29572	30561	+							CLO1313_RS00155	990		old_locus_tag=Clo1313_0029
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	29572	30561	+	WP_003513270.1	WP_003513270.1		CotS family spore coat protein			CLO1313_RS00155	990	329	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	30673	32343	-							CLO1313_RS00160	1671		old_locus_tag=Clo1313_0030
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	30673	32343	-	WP_003516448.1	WP_003516448.1		formate--tetrahydrofolate ligase			CLO1313_RS00160	1671	556	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	32510	33385	+					yabG		CLO1313_RS00165	876		old_locus_tag=Clo1313_0031
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	32510	33385	+	WP_003519973.1	WP_003519973.1		sporulation peptidase YabG	yabG		CLO1313_RS00165	876	291	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	33620	33886	+							CLO1313_RS00170	267		old_locus_tag=Clo1313_0032
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	33620	33886	+	WP_003513265.1	WP_003513265.1		DUF1021 domain-containing protein			CLO1313_RS00170	267	88	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	34163	35731	+							CLO1313_RS00175	1569		old_locus_tag=Clo1313_0033
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	34163	35731	+	WP_003516443.1	WP_003516443.1		DUF3794 domain-containing protein			CLO1313_RS00175	1569	522	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	35989	36825	+							CLO1313_RS00180	837		old_locus_tag=Clo1313_0034
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	35989	36825	+	WP_003513261.1	WP_003513261.1		4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase			CLO1313_RS00180	837	278	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	36932	37624	+							CLO1313_RS00185	693		old_locus_tag=Clo1313_0035
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	36932	37624	+	WP_014522587.1	WP_014522587.1		GntR family transcriptional regulator			CLO1313_RS00185	693	230	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	37635	37841	-							CLO1313_RS00190	207		old_locus_tag=Clo1313_0036
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	37635	37841	-	WP_003513254.1	WP_003513254.1		heavy metal transporter			CLO1313_RS00190	207	68	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	38050	38562	+							CLO1313_RS00195	513		old_locus_tag=Clo1313_0037
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	38050	38562	+	WP_003513253.1	WP_003513253.1		chemotaxis protein CheX			CLO1313_RS00195	513	170	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	38642	40264	+							CLO1313_RS00200	1623		old_locus_tag=Clo1313_0038
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	38642	40264	+	WP_003516440.1	WP_003516440.1		ATP-binding protein			CLO1313_RS00200	1623	540	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	40359	41087	+							CLO1313_RS00205	729		old_locus_tag=Clo1313_0039
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	40359	41087	+	WP_003513251.1	WP_003513251.1		hypothetical protein			CLO1313_RS00205	729	242	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	41153	41959	+							CLO1313_RS00210	807		old_locus_tag=Clo1313_0040
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	41153	41959	+	WP_003513250.1	WP_003513250.1		hypothetical protein			CLO1313_RS00210	807	268	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	42139	43731	+							CLO1313_RS00215	1593		old_locus_tag=Clo1313_0041
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	42139	43731	+	WP_003516438.1	WP_003516438.1		DUF342 domain-containing protein			CLO1313_RS00215	1593	530	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	43827	44972	+							CLO1313_RS00220	1146		old_locus_tag=Clo1313_0042
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	43827	44972	+	WP_003513248.1	WP_003513248.1		DNA repair exonuclease			CLO1313_RS00220	1146	381	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	45034	47685	+							CLO1313_RS00225	2652		old_locus_tag=Clo1313_0043
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	45034	47685	+	WP_003513246.1	WP_003513246.1		chromosome segregation protein SMC			CLO1313_RS00225	2652	883	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	47746	48768	+							CLO1313_RS00230	1023		old_locus_tag=Clo1313_0044
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	47746	48768	+	WP_003516435.1	WP_003516435.1		peptidase P60			CLO1313_RS00230	1023	340	
gene	pseudogene	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	48739	49890	-							CLO1313_RS15485	1152		pseudo;old_locus_tag=Clo1313_0045
CDS	without_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	48739	49890	-				UDP-N-acetylglucosamine--LPS N-acetylglucosamine transferase			CLO1313_RS15485	1152		pseudo
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	50121	50822	+					sleB		CLO1313_RS00245	702		old_locus_tag=Clo1313_0046
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	50121	50822	+	WP_003513241.1	WP_003513241.1		spore cortex-lytic enzyme	sleB		CLO1313_RS00245	702	233	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	50866	52260	+					ypeB		CLO1313_RS00250	1395		old_locus_tag=Clo1313_0047
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	50866	52260	+	WP_003513240.1	WP_003513240.1		germination protein YpeB	ypeB		CLO1313_RS00250	1395	464	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	52424	53512	+							CLO1313_RS00255	1089		old_locus_tag=Clo1313_0048
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	52424	53512	+	WP_003516429.1	WP_003516429.1		CPBP family intramembrane metalloprotease domain-containing protein			CLO1313_RS00255	1089	362	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	53564	54607	-							CLO1313_RS00260	1044		old_locus_tag=Clo1313_0049
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	53564	54607	-	WP_003513238.1	WP_003513238.1		DNA replication protein DnaC			CLO1313_RS00260	1044	347	
gene	pseudogene	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	54640	55618	-							CLO1313_RS00265	979		pseudo;old_locus_tag=Clo1313_0050
CDS	without_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	54640	55618	-				DNA replication protein DnaD			CLO1313_RS00265	979		pseudo
gene	tRNA	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	55857	55933	+							CLO1313_RS00270	77		old_locus_tag=Clo1313_R0003
tRNA		GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	55857	55933	+				tRNA-Arg			CLO1313_RS00270	77		anticodon=ACG
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	56185	57966	+							CLO1313_RS00275	1782		old_locus_tag=Clo1313_0051
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	56185	57966	+	WP_003516423.1	WP_003516423.1		HD domain-containing protein			CLO1313_RS00275	1782	593	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	57997	58245	+							CLO1313_RS00280	249		old_locus_tag=Clo1313_0052
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	57997	58245	+	WP_003513233.1	WP_003513233.1		hypothetical protein			CLO1313_RS00280	249	82	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	58408	59481	-							CLO1313_RS00285	1074		old_locus_tag=Clo1313_0053
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	58408	59481	-	WP_003513231.1	WP_003513231.1		DUF5050 domain-containing protein			CLO1313_RS00285	1074	357	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	59659	62664	-							CLO1313_RS00290	3006		old_locus_tag=Clo1313_0054
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	59659	62664	-	WP_003516421.1	WP_003516421.1		type 3a cellulose-binding domain protein			CLO1313_RS00290	3006	1001	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	62788	63618	-							CLO1313_RS00295	831		old_locus_tag=Clo1313_0055
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	62788	63618	-	WP_003516419.1	WP_003516419.1		copper amine oxidase			CLO1313_RS00295	831	276	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	64077	64916	+							CLO1313_RS00300	840		old_locus_tag=Clo1313_0056
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	64077	64916	+	WP_003513222.1	WP_003513222.1		motility protein A			CLO1313_RS00300	840	279	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	64930	65730	+							CLO1313_RS00305	801		old_locus_tag=Clo1313_0057
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	64930	65730	+	WP_003516418.1	WP_003516418.1		membrane protein			CLO1313_RS00305	801	266	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	65996	66952	+							CLO1313_RS00310	957		old_locus_tag=Clo1313_0058
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	65996	66952	+	WP_003513220.1	WP_003513220.1		DUF1385 domain-containing protein			CLO1313_RS00310	957	318	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	66965	67873	+					prmC		CLO1313_RS00315	909		old_locus_tag=Clo1313_0059
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	66965	67873	+	WP_003513219.1	WP_003513219.1		peptide chain release factor N(5)-glutamine methyltransferase	prmC		CLO1313_RS00315	909	302	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	67870	68940	-					ytvI		CLO1313_RS00320	1071		old_locus_tag=Clo1313_0060
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	67870	68940	-	WP_003513218.1	WP_003513218.1		sporulation integral membrane protein YtvI	ytvI		CLO1313_RS00320	1071	356	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	69547	70866	+							CLO1313_RS00325	1320		old_locus_tag=Clo1313_0061
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	69547	70866	+	WP_003519966.1	WP_003519966.1		electron transport complex subunit RsxC			CLO1313_RS00325	1320	439	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	70868	71833	+							CLO1313_RS00330	966		old_locus_tag=Clo1313_0062
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	70868	71833	+	WP_003513209.1	WP_003513209.1		NADH:ubiquinone oxidoreductase			CLO1313_RS00330	966	321	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	71817	72410	+							CLO1313_RS00335	594		old_locus_tag=Clo1313_0063
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	71817	72410	+	WP_003513207.1	WP_003513207.1		FMN-binding protein			CLO1313_RS00335	594	197	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	72413	73069	+							CLO1313_RS00340	657		old_locus_tag=Clo1313_0064
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	72413	73069	+	WP_003516416.1	WP_003516416.1		electron transport complex subunit RsxE			CLO1313_RS00340	657	218	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	73075	73662	+							CLO1313_RS00345	588		old_locus_tag=Clo1313_0065
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	73075	73662	+	WP_003513205.1	WP_003513205.1		electron transport complex subunit RsxA			CLO1313_RS00345	588	195	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	73701	74504	+							CLO1313_RS00350	804		old_locus_tag=Clo1313_0066
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	73701	74504	+	WP_003513203.1	WP_003513203.1		4Fe-4S dicluster domain-containing protein			CLO1313_RS00350	804	267	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	74595	74831	-							CLO1313_RS00355	237		old_locus_tag=Clo1313_0067
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	74595	74831	-	WP_003513202.1	WP_003513202.1		hypothetical protein			CLO1313_RS00355	237	78	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	75009	75518	+							CLO1313_RS00360	510		old_locus_tag=Clo1313_0068
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	75009	75518	+	WP_003513200.1	WP_003513200.1		shikimate kinase			CLO1313_RS00360	510	169	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	76031	76510	+							CLO1313_RS00365	480		old_locus_tag=Clo1313_0070
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	76031	76510	+	WP_003513195.1	WP_003513195.1		N-acetyltransferase			CLO1313_RS00365	480	159	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	76664	77089	+							CLO1313_RS00370	426		old_locus_tag=Clo1313_0071
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	76664	77089	+	WP_003513193.1	WP_003513193.1		DUF4275 domain-containing protein			CLO1313_RS00370	426	141	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	77161	77964	-							CLO1313_RS00375	804		old_locus_tag=Clo1313_0072
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	77161	77964	-	WP_003513190.1	WP_003513190.1		DeoR/GlpR transcriptional regulator			CLO1313_RS00375	804	267	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	78258	79742	+							CLO1313_RS00380	1485		old_locus_tag=Clo1313_0073
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	78258	79742	+	WP_003516413.1	WP_003516413.1		glycerol kinase GlpK			CLO1313_RS00380	1485	494	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	79748	80584	+							CLO1313_RS00385	837		old_locus_tag=Clo1313_0074
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	79748	80584	+	WP_003513187.1	WP_003513187.1		transketolase			CLO1313_RS00385	837	278	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	80581	81522	+							CLO1313_RS00390	942		old_locus_tag=Clo1313_0075
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	80581	81522	+	WP_003513185.1	WP_003513185.1		transketolase			CLO1313_RS00390	942	313	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	81603	82646	+							CLO1313_RS00395	1044		old_locus_tag=Clo1313_0076
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	81603	82646	+	WP_003513182.1	WP_003513182.1		NAD(P)-dependent alcohol dehydrogenase			CLO1313_RS00395	1044	347	
gene	protein_coding	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	82829	83947	+							CLO1313_RS00400	1119		old_locus_tag=Clo1313_0077
CDS	with_protein	GCF_000184925.1	Primary Assembly	chromosome		NC_017304.1	82829	83947	+	WP_003516411.1	WP_003516411.1		sugar ABC transporter substrate-binding protein			CLO1313_RS00400	1119	372	
