Protein	Pannzer
WP_014522596.1	ADP-ribose pyrophosphatase(0.46804633657)
WP_003513794.1	Cold shock protein CspLA(0.439833931556)
WP_003518519.1	Energy-coupling factor transporter transmembrane protein EcfT(0.623995664205)
WP_003518362.1	DUF368 domain-containing protein [Ruminiclostridium thermocellum](0.608839250393)
WP_003518228.1	Glucose-fructose oxidoreductase(0.43406329792)
WP_003514623.1	50S ribosomal protein L4(0.514991882334)
WP_003513467.1	Fluoroquinolones export ATP-binding proteinc/MT2762(0.357837458463)
WP_020457866.1	cupin domain-containing protein [Ruminiclostridium thermocellum](0.377211670864)
WP_003512965.1	ATP synthase subunit delta(0.294695631518)
WP_014522592.1	endo-1,4-beta-xylanase [Ruminiclostridium thermocellum](0.570988648246)
WP_003511707.1	PpiC-type peptidyl-prolyl cis-trans isomerase(0.378709468143)
WP_003519171.1	small, acid-soluble spore protein H [Ruminiclostridium thermocellum](0.60283083441)
WP_003513940.1	Cytochrome c biogenesis protein transmembrane region(0.422511454592)
WP_003517653.1	Serine/threonine protein phosphatase PrpC(0.430607873507)
WP_003513475.1	Site-specific tyrosine recombinase XerC(0.394766322377)
WP_003511862.1	copper amine oxidase [Ruminiclostridium thermocellum](0.611478873513)
WP_003513193.1	ATP synthase F1 subunit delta(0.758548763606)
WP_003512967.1	ATP synthase subunit B [Ruminiclostridium thermocellum](0.395050413604)
WP_003516561.1	Type II secretion system protein E(0.383506494705)
WP_003517974.1	Chemotaxis regulator-transmits chemoreceptor signals to flagelllar motor components CheY(0.350761544822)
WP_003518712.1	Chemotaxis signal transduction protein CheW(0.512506581921)
WP_020458025.1	Pyruvate-flavodoxin oxidoreductase(0.498035819135)
WP_003517853.1	Phosphoserine phosphatase RsbU(0.327616079694)
WP_003512488.1	threonine/serine exporter [Ruminiclostridium thermocellum](0.410662994481)
WP_003517064.1	MBL fold metallo-hydrolase(0.41186736717)
WP_003516030.1	DNA-cytosine methyltransferase(0.718781274809)
WP_003517062.1	Oxygen-independent coproporphyrinogen-III oxidase 2(0.525468544964)
WP_003513453.1	CRISPR-associated endoribonuclease(0.726463406586)
WP_003514311.1	ECF RNA polymerase sigma factor SigW(0.30097587421)
WP_003517527.1	Two-component sensor kinase yycG(0.418351274086)
WP_003514635.1	30S ribosomal protein S3(0.519996116246)
WP_003521161.1	Making large colonies protein(0.464410632524)
WP_003513451.1	Undecaprenyl-diphosphatase 1(0.531783589487)
WP_003513790.1	Membrane protein (Modular protein)(0.289827503139)
WP_003517463.1	Pyruvate phosphate dikinase, PEP/pyruvate binding domain(0.760552316195)
WP_003517525.1	Peptidase S1 and S6 chymotrypsin/Hap(0.388558346598)
WP_003520198.1	Translation initiation factor IF-3(0.518734501341)
WP_003513792.1	33 kDa chaperonin(0.577393604703)
WP_003513463.1	CRISPR-associated endoribonuclease Cas2(0.700732513168)
WP_003516390.1	Cellulase/esterase CelE(0.702867788286)
WP_003516468.1	Single-stranded nucleic acid binding R3H domain-containing protein(0.413291223734)
WP_003518381.1	Endoglucanase F(0.618710856808)
WP_003513025.1	dTDP-4-dehydrorhamnose 3,5-epimerase/CDP-3, 6-dideoxy-D-glycero-D-glycero-4-hexulose-5-epimerase(0.485179604666)
WP_003517379.1	D-methionine transport system substrate-binding protein(0.40290970434)
WP_003516004.1	Virulence factor(0.423666392352)
WP_003520703.1	Antitoxin Phd(0.798320614691)
WP_003512017.1	Sporulation membrane protein YtrH(0.667383891825)
WP_003518601.1	Beta-ketoacyl-ACP reductase(0.614741365677)
WP_003517535.1	amidohydrolase [Ruminiclostridium thermocellum](0.322028717602)
WP_003518900.1	Dihydrofolate reductase region(0.466560749651)
WP_003512884.1	UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase(0.390029240927)
WP_080514930.1	ATP-binding cassette domain-containing protein(0.243184991665)
WP_003516024.1	Phage major capsid protein, HK97 family(0.53357238561)
WP_003520602.1	Fatty-acyl-CoA synthase(0.418589582489)
WP_003518507.1	IstB domain protein ATP-binding protein(0.402793879162)
WP_003512882.1	2-keto-3-deoxy-L-rhamnonate aldolase RhmA(0.562980319927)
WP_003516525.1	Indolepyruvate ferredoxin oxidoreductase subunit beta(0.653005590558)
WP_003516026.1	Phage head-tail joining protein(0.669904773994)
ADU75174.1	Stage IV sporulation pro-sigma-K processing enzyme(0.411374151257)
WP_003511526.1	Membrane spanning protein(0.420418236194)
WP_003516552.1	Endoglucanase J(0.279465780936)
WP_003515954.1	TrmA family RNA methyltransferase(0.498872108967)
WP_003519558.1	copper amine oxidase [Ruminiclostridium thermocellum](0.522003138675)
WP_003513238.1	DNA replication protein DnaC(0.516797087352)
WP_003519296.1	Carbohydrate binding family 6(0.434710108489)
WP_003512019.1	NAD-dependent protein deacetylase(0.752333191841)
WP_003514211.1	MTS domain-containing protein(0.371908837474)
WP_003515898.1	Ribosomal-protein-alanine N-acetyltransferase(0.483905542557)
WP_003513548.1	Dihydrolipoamide acyltransferase(0.524540349641)
WP_003516438.1	Putative polymerase with PALM domain, HD hydrolase domain and Zn ribbon(0.603909603331)
WP_003512036.1	Probable zinc-ribbon domain-containing protein(0.429645196602)
WP_003511753.1	Anti-sigma regulatory factor(0.425956670546)
WP_003512582.1	NADP-reducing hydrogenase subunit HndB(0.741301234387)
WP_003517020.1	Nucleotide exchange factor GrpE(0.401031537637)
WP_003517508.1	Transglycosylase(0.602588690978)
WP_003514231.1	RNA polymerase sigma factor SigI(0.709413075007)
WP_003520701.1	Predicted restriction endonuclease(0.450556401209)
WP_003515673.1	AIR synthase(0.778376144549)
WP_003517056.1	Flp pilus assembly protein TadB(0.633676719222)
WP_003516587.1	spore coat protein [Ruminiclostridium thermocellum](0.75748626402)
WP_003519449.1	Recombinase/resolvase(0.394893506106)
WP_003512969.1	ATP synthase subunit c(0.51165324938)
WP_003517611.1	Acyl-CoA synthetase/AMP-acid ligase(0.502374034267)
WP_003514256.1	Phosphohydrolase(0.544612147956)
WP_003516406.1	Bacterial SNF2 helicase associated(0.502776791231)
WP_003518533.1	DNA repair protein RadA domain protein(0.757079533895)
WP_003512022.1	Aspartate--ammonia ligase(0.784854709546)
WP_003517613.1	Transcriptional regulator(0.363863852945)
WP_003514681.1	50S ribosomal protein L17(0.515240833727)
WP_003517500.1	RNA polymerase sigma factor SigI(0.730348885004)
WP_003515466.1	Type III pantothenate kinase(0.54643217565)
WP_003518890.1	DUF3810 domain-containing protein [Ruminiclostridium thermocellum](0.791025763323)
WP_003515952.1	Ferric enterobactin transport ATP-binding protein fepC(0.418702459334)
WP_003516028.1	DNA polymerase III alpha subunit(0.336219483681)
WP_003517615.1	HTH-type transcriptional regulator CynR(0.327691505524)
WP_003512804.1	Acyl-CoA thioesterase(0.476697534592)
WP_003513667.1	carbohydrate-binding protein [Ruminiclostridium thermocellum](0.274453165477)
WP_003517635.1	Trans-hexaprenyltranstransferase(0.32465317645)
WP_003515665.1	DUF58 domain-containing protein [Ruminiclostridium thermocellum](0.337762128563)
WP_003519441.1	Intracellular proteinase inhibitor Ipi(0.603051848448)
WP_003512438.1	spore coat protein [Ruminiclostridium thermocellum](0.612932856834)
WP_003512397.1	Peptidase S54 (Rhomboid) family(0.544438572438)
WP_003517888.1	CobB/CobQ domain-containing protein glutamine amidotransferase(0.461798313689)
WP_003511677.1	ABC transporter(0.365560268076)
WP_003520441.1	Cyanophycin synthetase CphA(0.778653794387)
WP_003514222.1	ABC transporter(0.348255646467)
WP_003519447.1	DEAD-box ATP-dependent RNA helicase CshA(0.39912280678)
WP_003516995.1	Glycine--tRNA ligase(0.728327701327)
WP_003518293.1	Twin-arginine translocating C- subunit(0.805757656562)
WP_003512395.1	Dockerin type 1(0.470143021597)
WP_003517632.1	NusG domain II-containing protein [Ruminiclostridium thermocellum](0.496201721657)
WP_014522651.1	HintN domain-containing protein (Fragment)(0.538439626638)
WP_003514224.1	Two-component system response regulator(0.362903990152)
WP_003514693.1	RNA polymerase-binding transcription factor CarD(0.376318181919)
WP_003512434.1	Ribosomal large subunit pseudouridine synthase C(0.390507504808)
WP_003515671.1	Glycine hydroxymethyltransferase(0.534818887593)
WP_003518069.1	dITP/XTP pyrophosphatase(0.623513634912)
WP_003511682.1	Adenosylcobinamide-GDP ribazoletransferase(0.628591465533)
WP_003518117.1	Outer cell wall protein(0.575552846598)
WP_003513564.1	Flagellar operon protein YvyF(0.785596036244)
WP_003517627.1	Single-strand binding protein/Primosomal replication protein n(0.737950809543)
WP_003513613.1	Glutamine--scyllo-inositol transaminase(0.690127893061)
WP_003516707.1	Putative ABC transporter permease protein yesQ(0.343356734251)
WP_003513562.1	ATP-dependent RecD-like DNA helicase(0.70974255881)
WP_003515457.1	ATP synthase gamma chain, sodium ion specific(0.440103758659)
WP_003515490.1	DinB-like domain containing protein(0.753377570419)
WP_003517318.1	ABC transporter(0.329446086643)
WP_003513365.1	Endoglucanase G(0.357673485919)
WP_003515661.1	L-lactate dehydrogenase(0.678769652652)
WP_003515509.1	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase(0.617149045589)
WP_003518079.1	phosphoesterase RecJ [Ruminiclostridium thermocellum](0.419368617446)
WP_003521048.1	GHKL domain-containing protein(0.368004358469)
WP_003515459.1	Glycosyltransferase group 4 family(0.538963173665)
WP_003513349.1	50S ribosomal protein L34(0.533587227038)
WP_003517637.1	Twitching motility protein PilT(0.448147052966)
WP_003513367.1	Accessory gene regulator B(0.657934542546)
WP_003515667.1	Transglutaminase-like enzymes(0.606449152703)
WP_003519443.1	Resolvase(0.573616810719)
WP_003518478.1	V-type sodium ATP synthase subunit C(0.503326606489)
WP_003516549.1	Sporulation protein, yteA family(0.473816617854)
WP_003519032.1	Polyribonucleotide nucleotidyltransferase(0.56009563133)
WP_003517334.1	Glucose import ATP-binding protein TsgD13(0.433865708626)
WP_003513605.1	lactoylglutathione lyase [Ruminiclostridium thermocellum](0.447439746653)
WP_003519461.1	AzlD domain-containing protein [Ruminiclostridium thermocellum](0.567657467265)
WP_003517483.1	Carbohydrate-binding CenC domain protein(0.591874887521)
WP_003519030.1	Spore coat associated protein CotJA(0.458935855636)
WP_003517639.1	Primosomal protein N'(0.65325722743)
WP_003516709.1	Trypanosome RHS [Ruminiclostridium thermocellum](0.845071289922)
WP_003516854.1	Pectate disaccharide-lyase(0.375556221853)
WP_003514880.1	NiFe hydrogenase metallocenter assembly protein HypE(0.593654560809)
WP_003513106.1	Delta-aminolevulinic acid dehydratase(0.564592569736)
WP_003519391.1	YD repeat-containing protein(0.552569469014)
WP_003515066.1	cyclic lactone autoinducer peptide [Ruminiclostridium thermocellum](0.863771322923)
WP_003516726.1	ABC transporter permease [Ruminiclostridium thermocellum](0.347006046945)
WP_004463666.1	ATP-dependent DNA helicase RecG(0.5333681498)
WP_003519538.1	HintN domain-containing protein (Fragment)(0.553360906468)
WP_003513100.1	Sulfate transport system permease protein CysT(0.506257134889)
WP_003515844.1	3-phosphoshikimate 1-carboxyvinyltransferase(0.464113471759)
WP_003517629.1	NADH dehydrogenase FAD-containing subunit(0.415597564639)
WP_003515685.1	GTPase Era(0.563759601091)
WP_003518753.1	Exodeoxyribonuclease VII small subunit(0.520517571971)
WP_003512457.1	Putative methyltransferase cher3(0.577878415489)
WP_003513846.1	Polysaccharide deacetylase(0.302288326523)
WP_003517306.1	Glycerate kinase GlxK(0.578817758191)
WP_003517609.1	Molecular chaperone HtpG(0.508119186414)
WP_003519528.1	Hedgehog/intein hint domain protein(0.670771845395)
WP_003513108.1	Porphyrin biosynthesis protein HemD(0.609298728568)
WP_003512473.1	Mutator family transposase(0.590459617342)
WP_003519034.1	Dipicolinate synthase subunit DpsA(0.779631729359)
WP_003513369.1	Quinolinate synthase A(0.553698478013)
WP_003513299.1	Putative sulfoacetate transporter SauU(0.44542924457)
WP_003516973.1	Glycosyl transferase(0.348715908726)
WP_003520690.1	DNA recombinase, putative(0.403804267253)
WP_003512988.1	Peptide chain release factor 1(0.501933648188)
WP_095522195.1	Transposase(0.305512778145)
WP_003514505.1	Glucose--fructose oxidoreductase(0.396327755068)
WP_003513422.1	YycI domain-containing protein(0.783540536836)
WP_003516328.1	tRNA dimethylallyltransferase(0.536227254012)
WP_003518067.1	Lipoprotein LpqB, GerMN domain-containing protein(0.56090734268)
WP_003520696.1	Transposase(0.364900180821)
WP_003516162.1	Zn-dependent protease(0.522396527241)
WP_003520408.1	Purine-binding chemotaxis protein CheW(0.309747495494)
WP_003515525.1	Processing protease(0.454625914221)
WP_003516299.1	DNA repair protein RadC(0.503134772712)
WP_003516636.1	Endoglucanase Acf2(0.785071805606)
WP_003511583.1	Hybrid cluster protein-associated redox disulfide domain(0.735450934329)
WP_003515527.1	Predicted Zn-dependent peptidase(0.396198426427)
WP_003515683.1	DNA repair protein RecO [Ruminiclostridium thermocellum](0.355566095005)
WP_003517764.1	Endoglucanase(0.366604119319)
WP_003518751.1	Trans-isoprenyl diphosphate synthase(0.430497348782)
WP_003514643.1	50S ribosomal protein L14(0.504407553781)
WP_003512318.1	Putative phosphohydrolase(0.379512391959)
WP_003517455.1	Amidophosphoribosyltransferase(0.613288101843)
WP_003512369.1	Cell division protein FtsZ(0.443882045779)
WP_003518597.1	Acyl carrier protein(0.498392696794)
WP_003518472.1	V-type sodium ATPase subunit D(0.746098707665)
WP_003517826.1	endoglucanase [Ruminiclostridium thermocellum](0.350139976951)
ADU75650.1	Hedgehog/intein hint domain protein [Ruminiclostridium thermocellum DSM 1313](0.606173852168)
WP_003516186.1	Sodium pump decarboxylase gamma subunit(0.696729718754)
WP_003515519.1	Peptidoglycan glycosyltransferase RodA(0.489405100823)
WP_003515746.1	Translocation-enhancing protein TepA(0.790215760831)
WP_003518595.1	3-oxoacyl-[acyl-carrier-protein] synthase 2(0.535233059249)
WP_003518077.1	ATP-dependent helicase [Ruminiclostridium thermocellum](0.323951899205)
WP_003517824.1	FMN-dependent NADPH-azoreductase(0.352649883369)
WP_003516971.1	Ribonuclease J(0.607070708934)
WP_003517459.1	Guanine/hypoxanthine permease PbuO(0.461041877479)
