#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
37;WP_003517008.1 YicC family protein [Hungateiclostridium thermocellum];294;YicC-like domain-containing protein;100.00% [294/294];;CBSS-323097.3.peg.2594;Uniprot (A3DF20)|Interpro (A3DF20);KEGG (cth:Cthe_1317)|KEGG GM (cth:Cthe_1317);Interpro (IPR005229)|Interpro (IPR013551)|Interpro (IPR013527)|Pfam (PF08340)|Pfam (PF03755);NCBI (489612567)|EMBL (CP000568);
38;WP_003519138.1 hypothetical protein [Hungateiclostridium thermocellum];402;YbbR family protein;99.75% [402/403];GO:0016021 - integral component of membrane;COG2509;Uniprot (A3DEL8)|Interpro (A3DEL8);KEGG (cth:Cthe_1165)|KEGG GM (cth:Cthe_1165);Interpro (IPR012505)|Pfam (PF07949);NCBI (500163348)|EMBL (CP000568);
39;WP_003512624.1 DUF3267 domain-containing protein [Hungateiclostridium thermocellum];177;Uncharacterized protein;100.00% [177/177];GO:0016021 - integral component of membrane;;Uniprot (A3DCB7)|Interpro (A3DCB7);KEGG (cth:Cthe_0358)|KEGG GM (cth:Cthe_0358);Interpro (IPR021683)|Pfam (PF11667);NCBI (489608183)|EMBL (CP000568);
40;WP_003513333.1 DUF370 domain-containing protein [Hungateiclostridium thermocellum];104;Uncharacterized protein;100.00% [104/104];;;Uniprot (A3DHZ8)|Interpro (A3DHZ8);KEGG (cth:Cthe_2375)|KEGG GM (cth:Cthe_2375);Interpro (IPR007169)|Pfam (PF04025);NCBI (489608892)|EMBL (CP000568);
41;WP_080514932.1 phosphotransferase [Hungateiclostridium thermocellum];115;Uncharacterized protein;91.27% [115/126];GO:0016021 - integral component of membrane;;Uniprot (A3DK59)|Interpro (A3DK59);KEGG (cth:Cthe_3143)|KEGG GM (cth:Cthe_3143);Interpro (IPR011009);NCBI (125715846)|EMBL (CP000568);
42;ADU73354.1 hypothetical protein Clo1313_0261 [Hungateiclostridium thermocellum DSM 1313];Blast running;;;;;;;;;
43;WP_004463855.1 hypothetical protein [Hungateiclostridium thermocellum];48;Uncharacterized protein;71.64% [48/67];;;Uniprot (W4VBC7)|Interpro (W4VBC7);;;EMBL (BAVR01000074);
44;WP_003514374.1 DUF5071 domain-containing protein [Hungateiclostridium thermocellum];125;DUF5071 domain-containing protein;96.15% [125/130];;;Uniprot (A3DJ21)|Interpro (A3DJ21);KEGG (cth:Cthe_2751)|KEGG GM (cth:Cthe_2751);Interpro (IPR038692)|Interpro (IPR031837)|Pfam (PF16804);NCBI (381353042)|EMBL (CP000568);
45;WP_003516696.1 hypothetical protein [Hungateiclostridium thermocellum];203;Uncharacterized protein;100.00% [203/203];;;Uniprot (A3DHA9)|Interpro (A3DHA9);KEGG (cth:Cthe_2133)|KEGG GM (cth:Cthe_2133);Interpro (IPR025591)|Pfam (PF13707);NCBI (489612255)|EMBL (CP000568);
46;WP_014522638.1 hypothetical protein [Hungateiclostridium thermocellum];508;Uncharacterized protein;73.73% [508/689];;;Uniprot (A0A4Q0I0W4)|Interpro (A0A4Q0I0W4);;;EMBL (RLII01000042);
47;WP_003517821.1 hypothetical protein [Hungateiclostridium thermocellum];115;Uncharacterized protein;100.00% [115/115];;;Uniprot (G2JC99)|Interpro (G2JC99);KEGG (cth:Cthe_3358)|KEGG GM (cth:Cthe_3358);;NCBI (489613380)|EMBL (CP000568);
48;ADU74096.1 hypothetical protein Clo1313_1028 [Hungateiclostridium thermocellum DSM 1313];25;Uncharacterized protein;49.02% [25/51];GO:0016021 - integral component of membrane;;Uniprot (A0A2K9ENY4)|Interpro (A0A2K9ENY4);KEGG (hsc:HVS_06370)|KEGG GM (hsc:HVS_06370);;NCBI (1315081749)|EMBL (CP025197);
49;WP_014522598.1 hypothetical protein [Hungateiclostridium thermocellum];71;Signal peptidase I;86.59% [71/82];;;Uniprot (G2JCE6)|Interpro (G2JCE6);KEGG (cth:Cthe_3424)|KEGG GM (cth:Cthe_3424);;NCBI (489607398)|EMBL (CP000568);
50;ADU75571.1 transcriptional regulator PadR-like family [Hungateiclostridium thermocellum DSM 1313];114;Transcriptional regulator PadR-like family;99.13% [114/115];;CBSS-1352.1.peg.856;Uniprot (A3DGN6)|Interpro (A3DGN6);KEGG (cth:Cthe_1895)|KEGG GM (cth:Cthe_1895);Interpro (IPR005149)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF03551);NCBI (125714623)|EMBL (CP000568);
51;WP_003515370.1 DUF4340 domain-containing protein [Hungateiclostridium thermocellum];490;Uncharacterized protein;99.59% [490/492];GO:0016021 - integral component of membrane;;Uniprot (A3DIX9)|Interpro (A3DIX9);KEGG (cth:Cthe_2709)|KEGG GM (cth:Cthe_2709);Interpro (IPR025641)|Pfam (PF14238);NCBI (521293630)|EMBL (CP000568);
52;WP_037322679.1 hypothetical protein [Hungateiclostridium thermocellum];260;Uncharacterized protein;92.20% [260/282];;;Uniprot (A3DGH7)|Interpro (A3DGH7);KEGG (cth:Cthe_1835)|KEGG GM (cth:Cthe_1835);;NCBI (125714564)|EMBL (CP000568);
53;WP_003513469.1 hypothetical protein [Hungateiclostridium thermocellum];239;Uncharacterized protein;100.00% [239/239];;;Uniprot (A3DHR2)|Interpro (A3DHR2);KEGG (cth:Cthe_2289)|KEGG GM (cth:Cthe_2289);;NCBI (489609028)|EMBL (CP000568);
54;WP_003513952.1 hypothetical protein [Hungateiclostridium thermocellum];65;Uncharacterized protein;100.00% [65/65];;;Uniprot (G2JCB2)|Interpro (G2JCB2);KEGG (cth:Cthe_3375)|KEGG GM (cth:Cthe_3375);;NCBI (489609511)|EMBL (CP000568);
55;WP_003516613.1 CopG family transcriptional regulator [Hungateiclostridium thermocellum];87;NikR_C domain-containing protein;100.00% [87/87];;;Uniprot (A3DD59)|Interpro (A3DD59);KEGG (cth:Cthe_0653)|KEGG GM (cth:Cthe_0653);Interpro (IPR027271)|Interpro (IPR023860)|Interpro (IPR014864)|Pfam (PF08753);NCBI (489612172)|EMBL (CP000568);
56;WP_049776348.1 hypothetical protein [Hungateiclostridium thermocellum];116;Uncharacterized protein;98.31% [116/118];;;Uniprot (A3DBB9)|Interpro (A3DBB9);KEGG (cth:Cthe_0006)|KEGG GM (cth:Cthe_0006);;NCBI (489607454)|EMBL (CP000568);
57;WP_003513744.1 MULTISPECIES: hypothetical protein [Hungateiclostridium];197;Uncharacterized protein;100.00% [197/197];;;Uniprot (A3DGH0)|Interpro (A3DGH0);KEGG (cth:Cthe_1828)|KEGG GM (cth:Cthe_1828);;NCBI (489609303)|EMBL (CP000568);
58;WP_003516818.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
59;WP_020457866.1 cupin domain-containing protein [Hungateiclostridium thermocellum];64;Cupin 2 conserved barrel domain protein;100.00% [64/64];;;Uniprot (A3DII9)|Interpro (A3DII9);KEGG (cth:Cthe_2567)|KEGG GM (cth:Cthe_2567);Interpro (IPR013096)|Interpro (IPR014710)|Interpro (IPR011051)|Pfam (PF07883);NCBI (125715276)|EMBL (CP000568);
60;WP_003513193.1 DUF4275 family protein [Hungateiclostridium thermocellum];141;Uncharacterized protein;100.00% [141/141];;;Uniprot (A3DI63)|Interpro (A3DI63);KEGG (cth:Cthe_2440)|KEGG GM (cth:Cthe_2440);Interpro (IPR025454)|Pfam (PF14101);NCBI (489608752)|EMBL (CP000568);
61;WP_003516507.1 hypothetical protein [Hungateiclostridium thermocellum];85;Uncharacterized protein;100.00% [85/85];;;Uniprot (A3DD10)|Interpro (A3DD10);KEGG (cth:Cthe_0604)|KEGG GM (cth:Cthe_0604);;NCBI (489612066)|EMBL (CP000568);
62;WP_003521161.1 ROK family transcriptional regulator [Hungateiclostridium thermocellum];403;ROK family protein;99.75% [403/404];;;Uniprot (A3DCE9)|Interpro (A3DCE9);KEGG (cth:Cthe_0390)|KEGG GM (cth:Cthe_0390)|KEGG EC (2.7.1.2);Interpro (IPR043129)|Interpro (IPR000600)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF00480);NCBI (500163151)|EMBL (CP000568);
63;WP_003514796.1 hypothetical protein [Hungateiclostridium thermocellum];129;Uncharacterized protein;100.00% [129/129];;;Uniprot (A3DJX1)|Interpro (A3DJX1);KEGG (cth:Cthe_3054)|KEGG GM (cth:Cthe_3054)|KEGG EC (6.3.5.3);;NCBI (489610355)|EMBL (CP000568);
64;WP_003518398.1 hypothetical protein [Hungateiclostridium thermocellum];178;Uncharacterized protein;100.00% [178/178];;;Uniprot (A3DBG7)|Interpro (A3DBG7);KEGG (cth:Cthe_0055)|KEGG GM (cth:Cthe_0055);;NCBI (489613957)|EMBL (CP000568);
65;WP_003521167.1 hypothetical protein [Hungateiclostridium thermocellum];75;FtsX domain-containing protein;83.33% [75/90];GO:0016021 - integral component of membrane;;Uniprot (A3DCE2)|Interpro (A3DCE2);KEGG (cth:Cthe_0383)|KEGG GM (cth:Cthe_0383);Interpro (IPR003838)|Pfam (PF02687);NCBI (489608226)|EMBL (CP000568);
66;WP_003516004.1 MULTISPECIES: hypothetical protein [Clostridia];230;Putative virulence protein;100.00% [230/230];;;Uniprot (K4LX05)|Interpro (K4LX05);KEGG (tpz:Tph_c23240)|KEGG GM (tpz:Tph_c23240);;NCBI (489611563)|EMBL (CP003732);
67;WP_003520703.1 hypothetical protein [Hungateiclostridium thermocellum];131;Antitoxin Phd;98.50% [131/133];;;Uniprot (A0A1M6ESH4)|Interpro (A0A1M6ESH4);;;EMBL (FQZP01000013);
68;WP_003514203.1 DUF2600 family protein [Hungateiclostridium thermocellum];347;Uncharacterized protein;100.00% [347/347];;;Uniprot (A3DH75)|Interpro (A3DH75);KEGG (cth:Cthe_2097)|KEGG GM (cth:Cthe_2097)|KEGG EC (4.2.3.130);Interpro (IPR019712)|Pfam (PF10776);NCBI (489609762)|EMBL (CP000568);
69;ADU75797.1 hypothetical protein Clo1313_2817 [Hungateiclostridium thermocellum DSM 1313];52;Uncharacterized protein;100.00% [52/52];;;Uniprot (G2JCB7)|Interpro (G2JCB7);KEGG (cth:Cthe_3382)|KEGG GM (cth:Cthe_3382);;NCBI (345548347)|EMBL (CP000568);
70;WP_003517027.1 hypothetical protein [Hungateiclostridium thermocellum];91;Uncharacterized protein;97.85% [91/93];;;Uniprot (A3DF30)|Interpro (A3DF30);KEGG (cth:Cthe_1327)|KEGG GM (cth:Cthe_1327);;NCBI (500163382)|EMBL (CP000568);
71;WP_003519476.1 hypothetical protein [Hungateiclostridium thermocellum];946;Uncharacterized protein;96.93% [946/976];;;Uniprot (A3DKE6)|Interpro (A3DKE6);KEGG (cth:Cthe_3230)|KEGG GM (cth:Cthe_3230);;NCBI (125715933)|EMBL (CP000568);
72;WP_003516026.1 MULTISPECIES: head-tail adaptor protein [Clostridia];111;Phage head-tail joining protein;100.00% [111/111];;;Uniprot (A0A0U9HBZ9)|Interpro (A0A0U9HBZ9);;Interpro (IPR008767)|Interpro (IPR038666)|Pfam (PF05521);NCBI (973251125)|EMBL (DF976999);
73;WP_003517060.1 hypothetical protein [Hungateiclostridium thermocellum];374;Uncharacterized protein;99.73% [374/375];;;Uniprot (A3DF43)|Interpro (A3DF43);KEGG (cth:Cthe_1340)|KEGG GM (cth:Cthe_1340);Interpro (IPR027417);NCBI (500163387)|EMBL (CP000568);
74;WP_003519387.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
75;WP_003521185.1 hypothetical protein [Ruminiclostridium thermocellum];Blast running;;;;;;;;;
76;WP_003519558.1 copper amine oxidase N-terminal domain-containing protein [Hungateiclostridium thermocellum];319;Copper amine oxidase-like domain-containing protein;98.76% [319/323];;;Uniprot (A3DGG9)|Interpro (A3DGG9);KEGG (cth:Cthe_1827)|KEGG GM (cth:Cthe_1827);Interpro (IPR012854)|Interpro (IPR036582)|Pfam (PF07833);NCBI (490599112)|EMBL (CP000568);
77;WP_003516579.1 WXG100 family type VII secretion target [Hungateiclostridium thermocellum];100;ESAT-6-like protein;100.00% [100/100];;;Uniprot (A3DD43)|Interpro (A3DD43);KEGG (cth:Cthe_0637)|KEGG GM (cth:Cthe_0637);Interpro (IPR036689)|Interpro (IPR010310)|Pfam (PF06013);NCBI (489612138)|EMBL (CP000568);
78;WP_003513202.1 hypothetical protein [Hungateiclostridium thermocellum];78;Uncharacterized protein;100.00% [78/78];;;Uniprot (A3DI59)|Interpro (A3DI59);KEGG (cth:Cthe_2436)|KEGG GM (cth:Cthe_2436);;NCBI (489608761)|EMBL (CP000568);
79;WP_003519389.1 hypothetical protein [Hungateiclostridium thermocellum];153;Uncharacterized protein;100.00% [153/153];GO:0016021 - integral component of membrane;;Uniprot (A3DF73)|Interpro (A3DF73);KEGG (cth:Cthe_1370)|KEGG GM (cth:Cthe_1370);;NCBI (489614948)|EMBL (CP000568);
80;WP_003519008.1 hypothetical protein [Hungateiclostridium thermocellum];527;Uncharacterized protein;92.78% [527/568];GO:0016021 - integral component of membrane;;Uniprot (A3DBZ0)|Interpro (A3DBZ0);KEGG (cth:Cthe_0230)|KEGG GM (cth:Cthe_0230);;NCBI (489607907)|EMBL (CP000568);
81;WP_003512036.1 hypothetical protein [Hungateiclostridium thermocellum];59;Zinc finger domain protein;86.76% [59/68];;;Uniprot (W4V5Y6)|Interpro (W4V5Y6);;Interpro (IPR025306)|Pfam (PF13451);NCBI (740457110)|EMBL (BAVR01000021);
82;WP_003513948.1 hypothetical protein [Hungateiclostridium thermocellum];286;Uncharacterized protein;99.65% [286/287];GO:0016021 - integral component of membrane;;Uniprot (A3DGU3)|Interpro (A3DGU3);KEGG (cth:Cthe_1954)|KEGG GM (cth:Cthe_1954);;NCBI (521293401)|EMBL (CP000568);
83;WP_003515673.1 AIR synthase [Hungateiclostridium thermocellum];327;AIR synthase related protein domain protein;100.00% [327/327];;Thiamin biosynthesis|5-FCL-like protein;Uniprot (A3DEB3)|Interpro (A3DEB3);KEGG (cth:Cthe_1060)|KEGG GM (cth:Cthe_1060);Interpro (IPR011854)|Interpro (IPR010918)|Interpro (IPR036676)|Interpro (IPR016188)|Interpro (IPR036921)|Pfam (PF00586)|Pfam (PF02769);NCBI (489611232)|EMBL (CP000568);
84;WP_003514254.1 hypothetical protein [Hungateiclostridium thermocellum];64;Uncharacterized protein;100.00% [64/64];;;Uniprot (G2JCB6)|Interpro (G2JCB6);KEGG (cth:Cthe_3381)|KEGG GM (cth:Cthe_3381);;NCBI (489609813)|EMBL (CP000568);
85;WP_003516293.1 hypothetical protein [Hungateiclostridium thermocellum];277;Uncharacterized protein;100.00% [277/277];;;Uniprot (A3DDG0)|Interpro (A3DDG0);KEGG (cth:Cthe_0754)|KEGG GM (cth:Cthe_0754);;NCBI (489611852)|EMBL (CP000568);
86;WP_003516587.1 spore coat protein [Hungateiclostridium thermocellum];80;Coat F domain protein;100.00% [80/80];;Spore Coat;Uniprot (A3DD47)|Interpro (A3DD47);KEGG (cth:Cthe_0641)|KEGG GM (cth:Cthe_0641);Interpro (IPR012851)|Pfam (PF07875);NCBI (489612146)|EMBL (CP000568);
87;WP_003519451.1 hypothetical protein [Hungateiclostridium thermocellum];42;Site-specific recombinase DNA invertase Pin;27.81% [42/151];GO:0000150 - recombinase activity|GO:0003677 - DNA binding;;Uniprot (I5B181)|Interpro (I5B181);;Interpro (IPR011109)|Interpro (IPR006119)|Interpro (IPR036162)|Interpro (IPR025827)|Pfam (PF07508)|Pfam (PF00239)|Pfam (PF13408);NCBI (389401022)|EMBL (CM001488);
88;WP_003513587.1 hypothetical protein [Hungateiclostridium thermocellum];127;Uncharacterized protein;100.00% [127/127];;;Uniprot (A3DHK7)|Interpro (A3DHK7);KEGG (cth:Cthe_2234)|KEGG GM (cth:Cthe_2234);;NCBI (489609146)|EMBL (CP000568);
89;WP_003516816.1 hypothetical protein [Hungateiclostridium thermocellum];Blast running;;;;;;;;;
90;WP_003511981.1 hypothetical protein [Hungateiclostridium thermocellum];319;Uncharacterized protein;100.00% [319/319];GO:0016021 - integral component of membrane;;Uniprot (A3DBG2)|Interpro (A3DBG2);KEGG (cth:Cthe_0050)|KEGG GM (cth:Cthe_0050);;NCBI (489607540)|EMBL (CP000568);
91;WP_003514902.1 hypothetical protein [Hungateiclostridium thermocellum];182;Uncharacterized protein;100.00% [182/182];GO:0016021 - integral component of membrane;;Uniprot (A3DJR9)|Interpro (A3DJR9);KEGG (cth:Cthe_3002)|KEGG GM (cth:Cthe_3002);;NCBI (489610461)|EMBL (CP000568);
92;WP_003514220.1 hypothetical protein [Hungateiclostridium thermocellum];53;Uncharacterized protein;88.33% [53/60];;;Uniprot (W4VA89)|Interpro (W4VA89);;;NCBI (740459074)|EMBL (BAVR01000055);
93;WP_003519441.1 hypothetical protein [Hungateiclostridium thermocellum];342;SLH domain-containing protein;99.71% [342/343];;;Uniprot (A3DEP5)|Interpro (A3DEP5);KEGG (cth:Cthe_1192)|KEGG GM (cth:Cthe_1192);Interpro (IPR020481)|Interpro (IPR038144)|Interpro (IPR001119)|Pfam (PF12690);NCBI (490598564)|EMBL (CP000568);
