ProteinID	ortholog	evalue	Score	Predicted_Gene_name	GO_terms	KEGG_KO	BiGG_Reactions	Matching_Ogs	Best_OG_value	COG_functional_categories	HMM_model_annotation
WP_003511555.1	203119.Cthe_3081	4.20E-190	621.5					"07TKX@bactNOG,0EVK5@cloNOG,0NFWR@firmNOG,COG1305@NOG"	07TKX|2.28102992557e-50|174.650878906	E	transglutaminase
WP_003511557.1	203119.Cthe_3083	8.40E-63	195.9					"06W7S@bactNOG,0F0NP@cloNOG,0NW8G@firmNOG,0YQXD@NOG"	06W7S|3.5603624895e-51|174.695358276	S	NA
WP_003511558.1	203119.Cthe_3084	2.60E-263	868.5	YPSC	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	"K07444,K19271"		"05C4H@bactNOG,0EPG1@cloNOG,0NDWT@firmNOG,COG0116@NOG"	05C4H|7.13825336928e-136|457.542358398	L	Specifically methylates the guanine in position 2445 (m2G2445) and the guanine in position 2069 (m7G2069) of 23S rRNA (By similarity)
WP_003511560.1	203119.Cthe_3085	7.80E-202	655.6					"06M94@bactNOG,0EZ2D@cloNOG,0NUNA@firmNOG,0Y2KY@NOG"	06M94|1.83533893817e-178|594.873413086	T	Response regulator receiver domain
WP_003511564.1	203119.Cthe_3086	1.50E-286	945.9	AROA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K00800	PSCVT	"05CMY@bactNOG,0ENXI@cloNOG,0NDHG@firmNOG,COG0128@NOG"	05CMY|9.53145822302e-153|514.044128418	E	5-enolpyruvylshikimate-3-phosphate synthase
WP_003511571.1	720554.Clocl_3294	2.10E-51	167.6	HUP		K03530		"05K70@bactNOG,0EU84@cloNOG,0NKPS@firmNOG,COG0776@NOG"	05K70|6.81411727634e-39|137.004745483	L	DNA-binding protein
WP_003511573.1	203119.Cthe_3089	6.20E-86	274.7			K07646		"05KYJ@bactNOG,0EUN0@cloNOG,0NNCM@firmNOG,11YPE@NOG"	05KYJ|6.58542445137e-54|184.651397705	S	UspA domain-containing protein
WP_003511577.1	289376.THEYE_A0457	3.00E-76	245.5			"K01676,K01678,K03780"		"07RHG@bactNOG,COG1838@NOG"	07RHG|2.41974825604e-78|264.967498779	C	"hydro-lyase, fe-s type, tartrate fumarate subfamily, beta subunit"
WP_003511583.1	203119.Cthe_3092	3.70E-46	146.8					"05WSQ@bactNOG,0EVBX@cloNOG,0NNXD@firmNOG,123UM@NOG"	05WSQ|2.44805114726e-30|108.727638245	S	Hydrid cluster protein-associated redox disulfide domain protein
WP_003511587.1	203119.Cthe_3093	1.60E-291	962.9	PURA	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K01939	ADSS	"05C91@bactNOG,0ENXF@cloNOG,0NDAX@firmNOG,COG0104@NOG"	05C91|3.39780099316e-198|662.071044922	F	Plays an important role in the de novo pathway of purine nucleotide biosynthesis
WP_003511591.1	203119.Cthe_3094	4.50E-221	729.2	YKCC	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K00721		"05CKK@bactNOG,0EQBF@cloNOG,0NDRF@firmNOG,COG0463@NOG"	05CKK|4.46354900595e-141|474.556854248	M	"Glycosyl transferase, family 2"
WP_003511596.1	203119.Cthe_3095	0	2230.5	PMT	"GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0006464,GO:0006486,GO:0006493,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016020,GO:0019538,GO:0034645,GO:0035268,GO:0035269,GO:0036211,GO:0040007,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044464,GO:0044723,GO:0070085,GO:0071704,GO:0071944,GO:1901135,GO:1901137,GO:1901576"			"05FF9@bactNOG,0ERHN@cloNOG,0NFB8@firmNOG,COG1928@NOG"	05FF9|1.36280884557e-173|572.5859375	M	"glycosyl transferase, family 39"
WP_003511598.1	203119.Cthe_3096	2.80E-200	651.8					"06JCE@bactNOG,0EZ3G@cloNOG,0NTRA@firmNOG,0Y9NZ@NOG"	06JCE|2.7324173436e-124|417.306854248	S	NA
WP_003511600.1	203119.Cthe_3097	4.60E-217	712.2			K00721		"05CKK@bactNOG,0EQBF@cloNOG,0NDRF@firmNOG,COG0463@NOG"	0EQBF|5.12341242834e-116|389.669433594	M	Glycosyl transferase family 2
WP_003511601.1	203119.Cthe_3098	4.40E-72	228.4			K09153		"05ZHK@bactNOG,0EWQF@cloNOG,0NP5Z@firmNOG,1234F@NOG"	05ZHK|1.52025250694e-45|156.800064087	S	Uncharacterized conserved protein (DUF2304)
WP_003511602.1	203119.Cthe_3099	1.10E-153	501.6	YCBB		"K00721,K00786"		"07SE7@bactNOG,0EQIS@cloNOG,0NF2N@firmNOG,COG0463@NOG"	07SE7|1.82087216933e-98|331.855010986	M	"Glycosyl transferase, family 2"
WP_003511603.1	203119.Cthe_3100	1.80E-192	633.8	DAPF	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K01778	DAPE	"05E4Z@bactNOG,0EPJJ@cloNOG,0NEDP@firmNOG,COG0253@NOG"	05E4Z|1.89872962641e-123|415.824279785	E	"Catalyzes the stereoinversion of LL-2,6- diaminoheptanedioate (L,L-DAP) to meso-diaminoheptanedioate (meso- DAP), a precursor of L-lysine and an essential component of the bacterial peptidoglycan (By similarity)"
WP_003511604.1	1009370.ALO_02826	9.00E-215	703.4	DAPL		K10206	DAPNH4T	"05CHM@bactNOG,0NDBY@firmNOG,0X1YH@negNOG,COG0436@NOG"	0X1YH|3.74920463278e-221|737.097595215	H	"Involved in the synthesis of meso-diaminopimelate (m-DAP or DL-DAP), required for both lysine and peptidoglycan biosynthesis. Catalyzes the direct conversion of tetrahydrodipicolinate to LL-diaminopimelate, a reaction that requires three enzymes in E.coli (By similarity)"
WP_003511605.1	203119.Cthe_3102	1.40E-211	691.9					"08G8Y@bactNOG,0F4WK@cloNOG,0NIM7@firmNOG,COG1316@NOG"	08G8Y|3.97906989783e-99|335.589660645	K	cell envelope-related transcriptional attenuator
WP_003511606.1	203119.Cthe_3103	2.50E-227	744.4					"05DSC@bactNOG,0EQMQ@cloNOG,0NF2Y@firmNOG,COG1775@NOG"	05DSC|1.13161737674e-152|510.609619141	E	2-hydroxyglutaryl-CoA dehydratase
WP_003511607.1	203119.Cthe_3104	3.60E-174	572.5					"05CIZ@bactNOG,0EQ5H@cloNOG,0NGQE@firmNOG,COG1924@NOG"	05CIZ|1.76808247387e-78|267.207183838	I	coA-substrate-specific enzyme activase
WP_003511610.1	203119.Cthe_3105	9.00E-151	495.2	QUEC		K06920		"05FD2@bactNOG,0ERH2@cloNOG,0NE86@firmNOG,COG0603@NOG"	05FD2|1.71614903345e-89|303.813049316	S	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)
WP_003511612.1	203119.Cthe_3106	1.30E-89	290.9	QUED		K01737		"05MJ5@bactNOG,0EU06@cloNOG,0NPDE@firmNOG,COG0720@NOG"	05MJ5|5.83262041953e-40|139.368682861	H	"6-carboxy-5,6,7,8-tetrahydropterin synthase"
WP_003511613.1	555778.Hneap_0538	5.90E-61	196.2	QUEE		K10026		"07VRB@bactNOG,0R8H2@gproNOG,16V71@proNOG,COG0602@NOG"	07VRB|2.19545702859e-69|236.279968262	H	"Catalyzes the conversion of 6-carboxy-5,6,7,8- tetrahydropterin (CPH4) to 7-carboxy-7-deazaguanine (CDG) (By similarity)"
WP_003511615.1	203119.Cthe_3108	1.90E-132	433.9			K02334		"08UN4@bactNOG,0ESJN@cloNOG,0NIHW@firmNOG,COG1573@NOG"	08UN4|7.64088740667e-87|295.283416748	L	phage SPO1 DNA polymerase-related protein
WP_003511616.1	203119.Cthe_3109	7.50E-126	408.9	UNG2		K02334		"05MFR@bactNOG,0EU9T@cloNOG,0NIRK@firmNOG,COG1573@NOG"	05MFR|1.00837552895e-66|226.909500122	L	uracil-dna glycosylase
WP_003511628.1	203119.Cthe_3111	1.20E-109	353.7					"08RES@bactNOG,0EPG9@cloNOG,0NHFN@firmNOG,11FDT@NOG"	08RES|3.55450037494e-95|319.195007324	S	NA
WP_003511632.1	203119.Cthe_3112	2.50E-238	784.4			"K16212,K18785"		"05CKB@bactNOG,0EQ88@cloNOG,0NDTF@firmNOG,COG2152@NOG"	05CKB|2.0129461667e-124|419.570648193	G	glycosidase
WP_003511635.1	203119.Cthe_3113	8.40E-237	778	MANC	"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0005886,GO:0005975,GO:0005996,GO:0006013,GO:0006139,GO:0006163,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008905,GO:0008928,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009132,GO:0009135,GO:0009150,GO:0009179,GO:0009185,GO:0009259,GO:0009987,GO:0016020,GO:0016051,GO:0016740,GO:0016772,GO:0016779,GO:0019307,GO:0019318,GO:0019319,GO:0019637,GO:0019693,GO:0034641,GO:0040007,GO:0042278,GO:0044237,GO:0044238,GO:0044281,GO:0044464,GO:0044710,GO:0044723,GO:0046128,GO:0046364,GO:0046483,GO:0046710,GO:0055086,GO:0070568,GO:0071704,GO:0071944,GO:0072521,GO:1901068,GO:1901135,GO:1901360,GO:1901564,GO:1901576,GO:1901657"	"K00966,K15669,K16881"	"MAN1PT,MAN1PT2"	"08I10@bactNOG,0F6YT@cloNOG,0P62V@firmNOG,COG1208@NOG"	08I10|3.0988690726e-150|505.428833008	M	Nucleotidyl transferase
WP_003511639.1	203119.Cthe_3114	2.70E-263	865.2					"05FBS@bactNOG,0EQ0X@cloNOG,0NEXG@firmNOG,0XQUB@NOG"	05FBS|1.13038473822e-127|430.167022705	M	glycosyl transferase group 1
WP_003511642.1	203119.Cthe_3115	9.80E-240	786.1					"05HRJ@bactNOG,0EQ6X@cloNOG,0NEZC@firmNOG,0ZVKB@NOG"	05HRJ|1.20502153766e-126|426.647735596	S	glycosyltransferase
WP_003511648.1	203119.Cthe_3117	1.90E-158	520.4	GUFA	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K07238		"05DUN@bactNOG,0EP55@cloNOG,0NDJH@firmNOG,COG0428@NOG"	05DUN|1.19255544015e-82|280.37399292	P	Mediates zinc uptake. May also transport other divalent cations (By similarity)
WP_003511651.1	203119.Cthe_3118	2.20E-86	278.3			K07216		"0828M@bactNOG,0F4RZ@cloNOG,0NMPT@firmNOG,COG2703@NOG"	0828M|2.28565416723e-52|180.941711426	P	"hemerythrin-like, metal-binding protein"
WP_003511653.1	203119.Cthe_3119	1.70E-155	507.5					"08TCH@bactNOG,0F4MK@cloNOG,0P2XR@firmNOG,COG1853@NOG"	08TCH|3.93766260954e-91|308.099487305	S	flavin reductase domain protein
WP_003511655.1	203119.Cthe_3121	3.20E-36	111.1					"06A70@bactNOG,0EXMZ@cloNOG,0NS3T@firmNOG,0XYZ6@NOG"	06A70|3.61830857605e-28|100.391616821	S	NA
WP_003511658.1	335543.Sfum_1359	6.50E-232	758.5			"K00666,K01897"	"FACOAL100t2pp,FACOAL120t2pp,FACOAL140t2pp,FACOAL141t2pp,FACOAL160t2pp,FACOAL161t2pp,FACOAL180t2pp,FACOAL181t2pp,FACOAL60t2pp,FACOAL80t2pp"	"05CEY@bactNOG,0GCMA@delNOG,0HE3K@dproNOG,16PEQ@proNOG,COG0318@NOG"	0HE3K|1.3759778351e-252|835.034973145	Q	AMP-dependent synthetase and ligase
WP_003511659.1	194439.CT1970	2.70E-31	103.8	HSP20		K13993		"05VN1@bactNOG,0D0Q3@chlNOG,COG0071@NOG"	05VN1|4.57857160056e-41|143.545288086	O	Heat shock protein
WP_003511662.1	203119.Cthe_3128	0	1030.2					"05WFY@bactNOG,0EP0W@cloNOG,0NG0A@firmNOG,COG0655@NOG"	05WFY|1.54402830507e-200|669.744689941	S	Iron-sulfur flavoprotein
WP_003511665.1	203119.Cthe_3131	0	1232.1			K07114		"07K6V@bactNOG,0EQUB@cloNOG,0NFWY@firmNOG,COG2304@NOG"	07K6V|4.09967606451e-276|919.763000488	S	"von Willebrand factor, type A"
WP_003511666.1	203119.Cthe_3132	1.60E-286	940.9					"05T6U@bactNOG,0F3NF@cloNOG,0NMF4@firmNOG,11VH8@NOG"	05T6U|4.06435151218e-109|368.779022217	S	NA
WP_003511667.1	290402.Cbei_3932	3.50E-142	462.5			K00433		"07V7U@bactNOG,0F7M8@cloNOG,0P71X@firmNOG,COG0596@NOG"	07V7U|4.2449874162e-108|363.368530273	S	alpha beta
WP_003511668.1	203119.Cthe_3131	1.30E-31	97.5			K07114		"07K6V@bactNOG,0EQUB@cloNOG,0NFWY@firmNOG,COG2304@NOG"	07K6V|1.48082308954e-23|86.0903015137	S	"von Willebrand factor, type A"
WP_003511669.1	203119.Cthe_3135	4.40E-75	236.7					"06ECW@bactNOG,0F1D2@cloNOG,0NXSZ@firmNOG,0Y6MU@NOG"	06ECW|9.74287863302e-33|115.917701721	S	NA
WP_003511670.1	203119.Cthe_3136	2.50E-248	816.9			K13275		"07SBA@bactNOG,0F4MY@cloNOG,0P2J7@firmNOG,COG1404@NOG"	07SBA|9.81241561823e-123|413.59677124	O	"peptidase S8 and S53, subtilisin, kexin, sedolisin"
WP_003511672.1	203119.Cthe_3139	4.60E-124	401.7	BL02597				"08XQ9@bactNOG,0NIJY@firmNOG,11M8G@NOG"	08XQ9|4.34791285588e-79|267.616546631	S	NA
WP_003511673.1	203119.Cthe_3140	4.20E-140	456.2	YGFC				"05TBH@bactNOG,0EU95@cloNOG,0NKWN@firmNOG,120E9@NOG"	05TBH|2.35308600673e-51|178.057006836	K	Transcriptional regulator
WP_003511674.1	203119.Cthe_3142	4.70E-108	347.3					"06488@bactNOG,0EWAU@cloNOG,0NPHX@firmNOG,12AZT@NOG"	06488|1.41428376676e-59|203.724227905	S	NA
WP_003511675.1	203119.Cthe_3145	1.00E-79	255.8			K02171		"05NCP@bactNOG,0EUXZ@cloNOG,0NM8X@firmNOG,11U16@NOG"	05NCP|1.03388001596e-53|183.403747559	K	Transcriptional regulator
WP_003511676.1	203119.Cthe_3146	0	1630.9					"05SBU@bactNOG,0EQQG@cloNOG,0NERM@firmNOG,COG4219@NOG"	05SBU|2.89171496075e-133|447.550476074	"K, T"	Peptidase m56
WP_003511677.1	445975.COLSTE_02264	1.30E-253	832.5			"K06147,K06148,K16012"		"00GQP@actNOG,05BZ1@bactNOG,COG1132@NOG"	00GQP|5.00540186167e-298|992.80267334	V	abc transporter
WP_003511680.1	203119.Cthe_3150	1.50E-230	759.4	COBD	"GO:0005575,GO:0005576,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02227	"ADCPS1,ADCPS2"	"05DH2@bactNOG,0EPIP@cloNOG,0NDZN@firmNOG,COG1270@NOG"	05DH2|7.3875944279e-90|304.284362793	H	Converts cobyric acid to cobinamide by the addition of aminopropanol on the F carboxylic group (By similarity)
WP_003511681.1	203119.Cthe_3151	2.10E-125	410.5	COBU	"GO:0003674,GO:0003824,GO:0006725,GO:0006766,GO:0006767,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008819,GO:0008820,GO:0009058,GO:0009110,GO:0009235,GO:0009236,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016779,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0033554,GO:0034641,GO:0042364,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044699,GO:0044710,GO:0044711,GO:0044763,GO:0046483,GO:0050896,GO:0051716,GO:0070568,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"K02231,K02232"	"ACBIPGT,ADCPS2,ADOCBIK,FFSD,RAFH,RAFHpp,SUCR"	"08YZT@bactNOG,0EU77@cloNOG,0NJCY@firmNOG,COG2087@NOG"	08YZT|8.19094672945e-68|232.79208374	H	Adenosylcobinamide kinase
WP_003511682.1	203119.Cthe_3152	2.20E-158	518.6	COBS	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	K02233	ADOCBLS	"07XPA@bactNOG,0ES5W@cloNOG,0NMDQ@firmNOG,COG0368@NOG"	07XPA|3.27777787219e-72|246.154403687	H	Joins Ado-cobinamide-GDP and alpha-ribazole to generate adenosylcobalamin (Ado-cobalamin) (By similarity)
WP_003511683.1	1140.Synpcc7942_0485	8.20E-50	162.6	GPMB		"K15634,K15640"	PGM	"07TB6@bactNOG,0FJSK@cyaNOG,COG0406@NOG"	07TB6|3.56334773704e-68|233.280151367	G	phosphoglycerate mutase
WP_003511686.1	203119.Cthe_3156	7.10E-260	851.6	MCPC		K03406		"05C8Q@bactNOG,0EQFU@cloNOG,0NDH9@firmNOG,COG0840@NOG"	0EQFU|2.77313712434e-137|461.151428223	S	Methyl-accepting chemotaxis sensory transducer
WP_003511688.1	203119.Cthe_3158	0	1436.8	THRS		K01681	"ACONT,ACONTa,ACONTb,MICITDr"	"08I0Z@bactNOG,0F6YS@cloNOG,0P62U@firmNOG,COG1048@NOG"	08I0Z|5.51000983302e-220|729.549987793	C	Aconitate hydratase
WP_003511692.1	203119.Cthe_3160	0	1068.8	SUN	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K03500		"05CYJ@bactNOG,0EP1D@cloNOG,0NDKH@firmNOG,COG0144@NOG,COG3270@NOG"	0EP1D|6.0784750988e-199|665.215393066	J	NOL1 NOP2 sun family
WP_003511696.1	203119.Cthe_3161	3.60E-160	526.1	RSUA	"GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022613,GO:0031118,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360"	"K06178,K06183"	YUMPS	"05I08@bactNOG,0EPHI@cloNOG,0NDK5@firmNOG,COG1187@NOG"	05I08|5.93025596921e-100|338.295013428	J	Pseudouridine synthase
WP_003511705.1	203119.Cthe_3164	0	1195.7			K07720		"05EQD@bactNOG,0EPVJ@cloNOG,0NEDJ@firmNOG,COG4753@NOG"	05EQD|1.88073735539e-107|363.379364014	T	regulatoR
WP_003511707.1	203119.Cthe_3165	5.00E-238	777.4					"0714U@bactNOG,0F1YF@cloNOG,0NY69@firmNOG,0YY6N@NOG"	0714U|9.66568109407e-149|498.10345459	S	ppic-type peptidyL-prolyl cis-trans isomerase
WP_003511713.1	864565.HMPREF0379_1165	5.10E-62	199.8					"07USE@bactNOG,0P2KJ@firmNOG,COG1597@NOG"	07USE|1.94564593021e-91|308.973327637	I	Diacylglycerol kinase
WP_003511715.1	203119.Cthe_3169	7.50E-164	538.9	FABI	"GO:0000166,GO:0003674,GO:0003824,GO:0004312,GO:0004318,GO:0005488,GO:0006082,GO:0006461,GO:0006629,GO:0006631,GO:0006633,GO:0006950,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009266,GO:0009409,GO:0009628,GO:0009987,GO:0016043,GO:0016053,GO:0016491,GO:0016627,GO:0016628,GO:0016740,GO:0016746,GO:0016747,GO:0019752,GO:0022607,GO:0030497,GO:0032787,GO:0033554,GO:0036094,GO:0043436,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044699,GO:0044710,GO:0044711,GO:0044763,GO:0046394,GO:0048037,GO:0050661,GO:0050662,GO:0050896,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0051716,GO:0055114,GO:0065003,GO:0070271,GO:0070417,GO:0071704,GO:0071822,GO:0071840,GO:0072330,GO:0097159,GO:1901265,GO:1901363,GO:1901576"	K00208	"KAS13,KAS17,KAS2,KAS7,KAS8"	"05CSJ@bactNOG,0ES6N@cloNOG,0NEVV@firmNOG,COG0623@NOG"	05CSJ|5.56453116923e-84|285.220397949	I	Enoyl- acyl-carrier-protein reductase NADH
WP_003511717.1	383372.Rcas_3149	2.20E-109	361.7	SSCG_03030	"GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944"	"K02003,K02004,K02031,K02032"		"05CQU@bactNOG,0D24P@chloNOG,COG1136@NOG"	05CQU|2.07438161909e-117|396.884277344	V	"Part of the ABC transporter complex LolCDE involved in the translocation of mature outer membrane-directed lipoproteins, from the inner membrane to the periplasmic chaperone, LolA. Responsible for the formation of the LolA-lipoprotein complex in an ATP-dependent manner (By similarity)"
WP_003511724.1	203119.Cthe_3173	2.00E-212	695.9	ECM27		K07301		"07RBN@bactNOG,0F4FX@cloNOG,0P2NE@firmNOG,COG0530@NOG"	07RBN|4.55621824778e-128|429.999908447	P	Sodium calcium exchanger membrane region
WP_003511726.1	203119.Cthe_3174	8.60E-84	267.7					"05Z4C@bactNOG,0EVAX@cloNOG,0NQBH@firmNOG,127FF@NOG"	05Z4C|1.6234331314e-44|153.707885742	S	NA
WP_003511730.1	509191.AcelC_020100009418	9.60E-32	96.3					"087B8@bactNOG,0F56Z@cloNOG,0P48U@firmNOG,0ZZ8U@NOG"	087B8|3.26424143551e-31|110.109146118	S	Small acid-soluble spore
WP_003511731.1	203119.Cthe_3177	5.00E-291	954.3			K03429		"08X0Z@bactNOG,0EYXF@cloNOG,0NMD6@firmNOG,COG0707@NOG"	08X0Z|1.04080674281e-189|633.109313965	M	Monogalactosyldiacylglycerol synthase
WP_003511746.1	203119.Cthe_3183	0	1030.1	TRKA		K03499		"05C1A@bactNOG,0EP3M@cloNOG,0ND7I@firmNOG,COG0569@NOG"	05C1A|1.08868793346e-139|469.158050537	P	potassium transporter peripheral membrane
WP_003511748.1	203119.Cthe_3184	0	1037.2	TRKH	"GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005267,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006813,GO:0008150,GO:0008324,GO:0009987,GO:0015075,GO:0015077,GO:0015079,GO:0015267,GO:0015672,GO:0016020,GO:0016021,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0030001,GO:0030955,GO:0031224,GO:0031226,GO:0031420,GO:0034220,GO:0035826,GO:0035827,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044425,GO:0044459,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046872,GO:0046873,GO:0046983,GO:0051179,GO:0051234,GO:0055085,GO:0071804,GO:0071805,GO:0071944"	K03498	"Kt2pp,Kt2r"	"05D37@bactNOG,0EPI6@cloNOG,0NE2S@firmNOG,COG0168@NOG"	05D37|5.56698532597e-180|603.317932129	P	Low-affinity potassium transport system. Interacts with Trk system potassium uptake protein TrkA (By similarity)
WP_003511751.1	203119.Cthe_3186	0	1321.8			K04034		"07SIB@bactNOG,0EPAG@cloNOG,0NENJ@firmNOG,COG1032@NOG"	07SIB|7.27955194448e-182|609.566711426	C	radical SAM domain protein
WP_003511753.1	203119.Cthe_3187	1.30E-94	301.1			K06379		"06S2G@bactNOG,0F04Q@cloNOG,0NRMQ@firmNOG,0XWYM@NOG"	06S2G|6.29186945478e-81|272.194122314	T	"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
WP_003511777.1	203119.Cthe_3191	3.00E-271	890.3					"05M1P@bactNOG,0EWVH@cloNOG,0NM9G@firmNOG,COG1192@NOG"	05M1P|3.65912333807e-100|337.976867676	D	"Inherit from COG: cobyrinic Acid a,c-diamide synthase"
WP_003511780.1	203119.Cthe_3193	6.70E-165	536.8			K01114		"08VCZ@bactNOG,0ESHA@cloNOG,0NJ1T@firmNOG,11KCS@NOG"	08VCZ|5.26817005306e-100|336.746551514	M	phospholipase C
WP_003511783.1	203119.Cthe_3194	4.40E-139	448.3			K06345		"07HNJ@bactNOG,0F3NG@cloNOG,0P1EH@firmNOG,0ZM63@NOG"	07HNJ|7.26116707355e-100|335.852233887	S	Sporulation lipoprotein YhcN/YlaJ (Spore_YhcN_YlaJ)
WP_003511787.1	203119.Cthe_3196	0	1022.1					"05F26@bactNOG,0EQNR@cloNOG,0NF4A@firmNOG,0XRP0@NOG"	05F26|6.42790744047e-193|644.218688965	S	conserved protein UCP033563
