ProeinID	KO_terms	KEGG_Term	Score	Second best	
WP_003511688.1	K01681	ACO; aconitate hydratase [EC:4.2.1.3]	506		
WP_003511692.1			254		
WP_003511696.1	K06183	rsuA; 16S rRNA pseudouridine516 synthase [EC:5.4.99.19]	199		
WP_003511705.1	K07720	"yesN; two-component system, response regulator YesN"	74		
WP_003511707.1			6	K03771	3
WP_003511713.1			137		
WP_003511715.1	K00208	fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	164		
WP_003511717.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	98		
WP_003511724.1	K07301	yrbG; cation:H+ antiporter	184		
WP_003511726.1			22	K20530	1
WP_003511730.1			21	K06421	1
WP_003511731.1	K03429	"ugtP; processive 1,2-diacylglycerol beta-glucosyltransferase [EC:2.4.1.315]"	17	K03715	10
WP_003511737.1	K18845	rmt; 16S rRNA (guanine(1405)-N(7))-methyltransferase [EC:2.1.1.179]	10	K00568	2
WP_003511746.1	K03499	trkA; trk system potassium uptake protein	184		
WP_003511748.1	K03498	trkH; trk system potassium uptake protein	329		
WP_003511751.1			273		
WP_003511753.1	K06379	spoIIAB; stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	10	K04757	5
WP_003511777.1			9	K02282	4
WP_003511778.1			19	K03550	1
WP_003511780.1	K01114	plc; phospholipase C [EC:3.1.4.3]	140		
WP_003511783.1			18	K06345	4
WP_003511785.1			20	K08342	1
WP_003511787.1			306		
WP_003511789.1			39		
WP_003511791.1			13	K14009	1
WP_003511840.1					
WP_003511856.1			32	K01262	1
WP_003511862.1			19	K01448	1
WP_003511872.1			7	K12460	1
WP_003511902.1			13	K17763	1
WP_003511903.1					
WP_003511905.1			7	K08989	4
WP_003511908.1			13	K08989	2
WP_003511909.1	K06113	"abnA; arabinan endo-1,5-alpha-L-arabinosidase [EC:3.2.1.99]"	186		
WP_003511911.1	K02217	ftnA; ferritin [EC:1.16.3.2]	67		
WP_003511913.1			183		
WP_003511915.1			8	K14441	1
WP_003511918.1			18		
WP_003511931.1	K02170	bioH; pimeloyl-[acyl-carrier protein] methyl ester esterase [EC:3.1.1.85]	64		
WP_003511942.1	K01218	"gmuG; mannan endo-1,4-beta-mannosidase [EC:3.2.1.78]"	53		
WP_003511947.1			135		
WP_003511951.1	K05601	hcp; hydroxylamine reductase [EC:1.7.99.1]	657		
WP_003511954.1	K13993	HSP20; HSP20 family protein	59		
WP_003511963.1			17	K02395	1
WP_003511964.1			277		
WP_003511976.1			29	K01448	1
WP_003511980.1			9	K01356	1
WP_003511981.1			21	K10960	1
WP_003511984.1			170		
WP_003511986.1	K00525	E1.17.4.1A; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]	513		
WP_003511996.1			131		
WP_003512006.1			62		
WP_003512010.1	K03093	sigI; RNA polymerase sigma factor	72		
WP_003512012.1			81		
WP_003512015.1			51		
WP_003512017.1			60		
WP_003512018.1			14	K16651	1
WP_003512019.1	K12410	npdA; NAD-dependent deacetylase [EC:3.5.1.-]	164		
WP_003512020.1	K03768	PPIB; peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]	114	K01802	30
WP_003512022.1	K01914	asnA; aspartate--ammonia ligase [EC:6.3.1.1]	244		
WP_003512025.1	K01893	NARS; asparaginyl-tRNA synthetase [EC:6.1.1.22]	379		
WP_003512026.1			300	K01179	26
WP_003512028.1			12	K03973	4
WP_003512031.1					
WP_003512034.1			12		
WP_003512035.1			8	K02067	1
WP_003512036.1			13	K04893	
WP_003512038.1			59		
WP_003512048.1	K00620	argJ; glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]	312		
WP_003512050.1	K01338	lon; ATP-dependent Lon protease [EC:3.4.21.53]	519		
WP_003512055.1			43	K01626	1
WP_003512057.1	K16511	mecA1_2; adapter protein MecA 1/2	69		
WP_003512059.1			74	K00948	1
WP_003512062.1	K06287	maf; septum formation protein	101		
WP_003512064.1	K03569	mreB; rod shape-determining protein MreB and related proteins	258		
WP_003512069.1	K03571	mreD; rod shape-determining protein MreD	32		
WP_003512072.1	K03610	minC; septum site-determining protein MinC	80		
WP_003512074.1	K03609	minD; septum site-determining protein MinD	209		
WP_003512076.1	K03608	minE; cell division topological specificity factor	52		
WP_003512078.1	K01734	mgsA; methylglyoxal synthase [EC:4.2.3.3]	125		
WP_003512093.1	K00297	metF; methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]	197		
WP_003512095.1			21	K09696	1
WP_003512097.1	K19955	adh2; alcohol dehydrogenase [EC:1.1.1.-]	358		
WP_003512099.1	K03439	trmB; tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33]	111		
WP_003512101.1			90		
WP_003512104.1	K11752	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	215		
WP_003512106.1	K00793	ribE; riboflavin synthase [EC:2.5.1.9]	186		
WP_003512109.1	K14652	"ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"	389		
WP_003512112.1	K00794	"ribH; 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"	169		
WP_003512113.1			30	K07175	1
WP_003512115.1			13	K01179	1
WP_003512117.1	K06023	hprK; HPr kinase/phosphorylase [EC:2.7.11.- 2.7.4.-]	180		
WP_003512119.1	K04477	ycdX; putative hydrolase	149		
WP_003512125.1			218		
WP_003512126.1			360		
WP_003512127.1	K09762	uncharacterized protein	178		
WP_003512128.1	K11189	PTS-HPR; phosphocarrier protein	37	K11184	13
WP_003512129.1	K06378	spoIIAA; stage II sporulation protein AA (anti-sigma F factor antagonist)	53		
WP_003512130.1	K06379	spoIIAB; stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]	85		
WP_003512132.1	K03091	sigH; RNA polymerase sporulation-specific sigma factor	148		
WP_003512134.1			17	K13541	
WP_003512136.1	K06405	spoVAC; stage V sporulation protein AC	59		
WP_003512143.1	K06407	spoVAE; stage V sporulation protein AE	42		
WP_003512146.1	K03409	cheX; chemotaxis protein CheX	65		
WP_003512148.1	K03216	trmL; tRNA (cytidine/uridine-2'-O-)-methyltransferase [EC:2.1.1.207]	136		
WP_003512152.1	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	112		
WP_003512155.1	K00648	fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]	111		
WP_003512157.1	K01897	ACSL; long-chain acyl-CoA synthetase [EC:6.2.1.3]	110		
WP_003512162.1			576		
WP_003512164.1	K06133	LYS5; 4'-phosphopantetheinyl transferase [EC:2.7.8.-]	10		
WP_003512173.1	K00134	GAPDH; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]	165		
WP_003512174.1	K01803	TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1]	210	K00927/K01803	7
WP_003512175.1	K15633	"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"	371		
WP_003512176.1			204		
WP_003512177.1	K01689	ENO; enolase [EC:4.2.1.11]	393		
WP_003512178.1	K03075	secG; preprotein translocase subunit SecG	32		
WP_003512179.1			108	K06951	10
WP_003512181.1			108		
WP_003512183.1			12	K11189	6
WP_003512188.1			46		
WP_003512190.1	K07447	ruvX; putative holliday junction resolvase [EC:3.1.-.-]	72		
WP_003512192.1			22	K07447	1
WP_003512194.1			125		
WP_003512197.1			111		
WP_003512200.1	K02888	RP-L21; large subunit ribosomal protein L21	75		
WP_003512202.1	K07584	ysxB; uncharacterized protein	45		
WP_003512204.1	K02899	RP-L27; large subunit ribosomal protein L27	71		
WP_003512219.1	K07574	yhbY; RNA-binding protein	62		
WP_003512220.1			65		
WP_003512222.1			138		
WP_003512224.1	K03413	"cheY; two-component system, chemotaxis family, chemotaxis protein CheY"	10		
WP_003512227.1			61	K07484	1
WP_003512229.1			156		
WP_003512233.1			32	K01709	1
WP_003512235.1			14	K11751	1
WP_003512237.1			12	K12340	1
WP_003512240.1			213		
WP_003512242.1			130		
WP_003512244.1			24	K03324	1
WP_003512246.1			7	K07507	1
WP_003512248.1	K01755	argH; argininosuccinate lyase [EC:4.3.2.1]	327		
WP_003512250.1	K01940	argG; argininosuccinate synthase [EC:6.3.4.5]	425		
WP_003512252.1	K01159	ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]	111		
WP_003512254.1	K03550	ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]	88		
WP_003512257.1	K03551	ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]	246		
WP_003512259.1	K09765	queH; epoxyqueuosine reductase [EC:1.17.99.6]	126		
WP_003512262.1	K02662	pilM; type IV pilus assembly protein PilM	61		
WP_003512264.1	K01448	amiABC; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]	153		
WP_003512265.1	K01784	galE; UDP-glucose 4-epimerase [EC:5.1.3.2]	237		
WP_003512267.1	K00989	rph; ribonuclease PH [EC:2.7.7.56]	185		
WP_003512269.1	K13963	SERPINB; serpin B	61		
WP_003512272.1			23	K08974	1
WP_003512274.1	K01915	glnA; glutamine synthetase [EC:6.3.1.2]	524		
WP_003512275.1			318		
WP_003512278.1	K00196	cooF; anaerobic carbon-monoxide dehydrogenase iron sulfur subunit	65		
WP_003512281.1			195		
WP_003512282.1			172		
WP_003512284.1	K01915	glnA; glutamine synthetase [EC:6.3.1.2]	291		
WP_003512286.1	K22010	"pdtaR; two-component system, response regulator PdtaR"	59		
WP_003512288.1			27		
WP_003512291.1			147		
WP_003512293.1			62		
WP_003512298.1	K02529	lacI; LacI family transcriptional regulator	136		
WP_003512300.1			17	K16559	6
WP_003512303.1			22	K03088	1
WP_003512309.1			19	K02575	1
WP_003512313.1	K01889	FARSA; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]	256		
WP_003512315.1	K01890	FARSB; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]	474		
WP_003512316.1			20	K06421	2
WP_003512317.1	K01810	GPI; glucose-6-phosphate isomerase [EC:5.3.1.9]	471		
WP_003512318.1	K07098	uncharacterized protein	42		
WP_003512320.1	K07005	uncharacterized protein	72		
WP_003512325.1			14	K03565	1
WP_003512326.1			5	K07945	1
WP_003512336.1			21	K05521	1
WP_003512340.1			16	K03989	
WP_003512342.1			8	K07313	1
WP_003512344.1			19	K00343	1
WP_003512346.1	K08679	E5.1.3.6; UDP-glucuronate 4-epimerase [EC:5.1.3.6]	247		
WP_003512350.1			114		
WP_003512352.1			80	K03406	1
WP_003512354.1	K03790	rimJ; [ribosomal protein S5]-alanine N-acetyltransferase [EC:2.3.1.267]	78		
WP_003512363.1			38	K03387	1
WP_003512366.1			26	K07774	1
WP_003512368.1			188		
WP_003512369.1			106		
WP_003512370.1	K01163	uncharacterized protein	136		
WP_003512371.1			27	K01449	4
WP_003512374.1	K21903	"cadC; ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor"	84		
WP_003512380.1			260		
WP_003512382.1			121		
WP_003512384.1			87		
WP_003512386.1	K03924	moxR; MoxR-like ATPase [EC:3.6.3.-]	173		
WP_003512387.1			136		
WP_003512389.1			12	K00127	2
WP_003512395.1			101		
WP_003512397.1			27	K02441	5
WP_003512399.1			11	K04771	2
WP_003512401.1	K01091	gph; phosphoglycolate phosphatase [EC:3.1.3.18]	30	K06019	15
WP_003512405.1	K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	416		
WP_003512407.1			46	K01741	1
WP_003512409.1			23	K01184	1
WP_003512411.1			248		
WP_003512414.1	K03406	mcp; methyl-accepting chemotaxis protein	39		
WP_003512416.1			10	K01179	1
WP_003512418.1	K03093	sigI; RNA polymerase sigma factor	79		
WP_003512420.1			112	K15531	7
WP_003512422.1			8	K01179	1
WP_003512424.1			102		
WP_003512427.1	K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	105		
WP_003512434.1	K06180	rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]	174		
WP_003512436.1			11	K02892	1
WP_003512438.1			6	K06439	4
WP_003512440.1	K00703	glgA; starch synthase [EC:2.4.1.21]	293		
WP_003512448.1	K00031	IDH1; isocitrate dehydrogenase [EC:1.1.1.42]	427		
WP_003512454.1			105	K11527	13
WP_003512457.1	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	76		
WP_003512461.1	K00003	E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3]	231		
WP_003512463.1	K06888	uncharacterized protein	445		
WP_003512473.1			267		
WP_003512474.1			12	K03564	2
WP_003512475.1	K00831	serC; phosphoserine aminotransferase [EC:2.6.1.52]	222		
WP_003512482.1			246		
WP_003512484.1			159		
WP_003512486.1			109		
WP_003512488.1			43		
WP_003512490.1			19	K05566	1
WP_003512492.1			45	K00344	1
WP_003512494.1	K02470	gyrB; DNA gyrase subunit B [EC:5.99.1.3]	492		
WP_003512498.1			20	K00286	1
WP_003512502.1	K03702	uvrB; excinuclease ABC subunit B	521		
WP_003512504.1			18	K02936	1
WP_003512514.1	K03093	sigI; RNA polymerase sigma factor	102		
WP_003512516.1			13	K05349	2
WP_003512518.1			22	K08889	1
WP_003512521.1	K01628	fucA; L-fuculose-phosphate aldolase [EC:4.1.2.17]	108		
WP_003512523.1			7	K02200	1
WP_003512548.1			14	K06923	1
WP_003512559.1			17		
WP_003512563.1			51	K20276	1
WP_003512565.1	K02837	prfC; peptide chain release factor 3	391		
WP_003512569.1			130		
WP_003512571.1			28	K04750	9
WP_003512574.1			60		
WP_003512576.1			244		
WP_003512577.1			59		
WP_003512578.1	K07053	"E3.1.3.97; 3',5'-nucleoside bisphosphate phosphatase [EC:3.1.3.97]"	113		
WP_003512581.1			107		
WP_003512582.1	K17992	hndB; NADP-reducing hydrogenase subunit HndB [EC:1.12.1.3]	70		
WP_003512583.1	K18331	hndC; NADP-reducing hydrogenase subunit HndC [EC:1.12.1.3]	421	K22339	44
WP_003512584.1	K18332	hndD; NADP-reducing hydrogenase subunit HndD [EC:1.12.1.3]	434		
WP_003512585.1			154		
WP_003512586.1	K00027	ME2; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	259		
WP_003512590.1			18	K13795	1
WP_003512592.1	K21071	pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90]	369		
WP_003512596.1	K01624	"FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"	252		
WP_003512598.1	K03100	lepB; signal peptidase I [EC:3.4.21.89]	110		
WP_003512606.1			9	K07533	4
WP_003512608.1			198		
WP_003512610.1			245		
WP_003512612.1			242		
WP_003512615.1			202		
WP_003512622.1			242		
WP_003512623.1	K00688	PYG; glycogen phosphorylase [EC:2.4.1.1]	554		
WP_003512624.1			16	K20924	1
WP_003512626.1	K03671	trxA; thioredoxin 1	63		
WP_003512627.1			6	K04074	3
WP_003512628.1			110		
WP_003512630.1	K10907	aminotransferase [EC:2.6.1.-]	280		
WP_003512632.1			11		
WP_003512634.1			10	K01356	1
WP_003512636.1	K02836	prfB; peptide chain release factor 2	231		
WP_003512648.1	K06898	"larB; pyridinium-3,5-biscarboxylic acid mononucleotide synthase [EC:2.5.1.143]"	175		
WP_003512650.1	K09121	"larC; pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase [EC:4.99.1.12]"	209		
WP_003512652.1	K07139	uncharacterized protein	203		
WP_003512659.1	K00528	fpr; ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]	227		
WP_003512660.1	K00262	E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	351		
WP_003512661.1	K01951	guaA; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]	384		
WP_003512662.1			55		
WP_003512663.1			59		
WP_003512664.1			46	K01989	1
WP_003512665.1			12	K01465	1
WP_003512666.1			10	K02004	3
WP_003512672.1			24	K00997	1
WP_003512674.1	K00008	SORD; L-iditol 2-dehydrogenase [EC:1.1.1.14]	208		
WP_003512676.1	K00847	E2.7.1.4; fructokinase [EC:2.7.1.4]	224		
WP_003512678.1	K10441	rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]	283		
WP_003512682.1	K10439	rbsB; ribose transport system substrate-binding protein	141		
WP_003512683.1			41	K13954	41
WP_003512684.1	K06726	rbsD; D-ribose pyranase [EC:5.4.99.62]	56		
WP_003512687.1			68		
WP_003512688.1	K06872	uncharacterized protein	30		
WP_003512697.1			136		
WP_003512699.1	K03406	mcp; methyl-accepting chemotaxis protein	32		
WP_003512702.1	K03093	sigI; RNA polymerase sigma factor	77		
WP_003512704.1			12	K01179	1
WP_003512705.1	K01179	E3.2.1.4; endoglucanase [EC:3.2.1.4]	270		
WP_003512706.1			120		
WP_003512707.1			278		
WP_003512710.1			117	K02030	86
WP_003512712.1	K07166	ACT domain-containing protein	54		
WP_003512715.1	K09157	uncharacterized protein	472		
WP_003512755.1	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]	213		
WP_003512770.1	K00615	E2.2.1.1; transketolase [EC:2.2.1.1]	186		
WP_003512772.1			137		
WP_003512777.1	K05946	tagA; N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase [EC:2.4.1.187]	132		
WP_003512779.1			20	K00826	1
WP_003512781.1	K07171	mazF; mRNA interferase MazF [EC:3.1.-.-]	128		
WP_003512783.1	K07723	ndoAI; CopG family transcriptional regulator / antitoxin EndoAI	34		
WP_003512787.1	K17758	nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]	261		
	K17759	AIBP; NAD(P)H-hydrate epimerase [EC:5.1.99.6]			
WP_003512791.1	K18814	ictB; putative inorganic carbon (hco3(-)) transporter	14		
WP_003512794.1			20	K00858	1
WP_003512797.1			133		
WP_003512799.1	K00661	maa; maltose O-acetyltransferase [EC:2.3.1.79]	23		
WP_003512801.1			243		
WP_003512803.1	K06409	spoVB; stage V sporulation protein B	193		
WP_003512804.1			113		
WP_003512807.1			172	K05540	39
WP_003512811.1			67	K16926	1
WP_003512813.1			10	K01712	1
WP_003512814.1	K06382	spoIIE; stage II sporulation protein E [EC:3.1.3.16]	324		
WP_003512816.1			122	K12600	3
WP_003512826.1			9	K12284	1
WP_003512828.1			26	K17319	1
WP_003512844.1			39		
WP_003512846.1	K01537	E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]	515		
WP_003512848.1			39		
WP_003512850.1	K03688	ubiB; ubiquinone biosynthesis protein	302		
WP_003512852.1	K03406	mcp; methyl-accepting chemotaxis protein	117		
WP_003512860.1	K07571	S1 RNA binding domain protein	69		
WP_003512861.1			7	K13052	2
WP_003512862.1			31		
WP_003512863.1			53		
WP_003512864.1			47		
WP_003512867.1	K03530	hupB; DNA-binding protein HU-beta	65		
WP_003512871.1	K04769	"spoVT; AbrB family transcriptional regulator, stage V sporulation protein T"	133		
WP_003512873.1	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	51		
WP_003512875.1			74		
WP_003512877.1			61		
WP_003512879.1			19	K02031/K02032	1
WP_003512882.1			103		
WP_003512884.1			60	K13012	10
WP_003512886.1	K01921	ddl; D-alanine-D-alanine ligase [EC:6.3.2.4]	14		
WP_003512888.1			15	K07265	1
WP_003512890.1			224	K01710	33
WP_003512892.1			251		
WP_003512894.1			184		
WP_003512896.1			78	K13006	4
WP_003512898.1	K18430	"legI; N,N'-diacetyllegionaminate synthase [EC:2.5.1.101]"	235		
WP_003512900.1	K18429	"legG; GDP/UDP-N,N'-diacetylbacillosamine 2-epimerase (hydrolysing) [EC:3.2.1.184]"	254		
WP_003512903.1	K18431	"legF; CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]"	101		
WP_003512905.1			27	K02847	3
WP_003512907.1	K03980	murJ; putative peptidoglycan lipid II flippase	214		
WP_003512910.1	K07533	prsA; foldase protein PrsA [EC:5.2.1.8]	10		
WP_003512912.1	K01056	"PTH1; peptidyl-tRNA hydrolase, PTH1 family [EC:3.1.1.29]"	117		
WP_003512915.1	K04042	glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]	281		
WP_003512917.1	K06412	spoVG; stage V sporulation protein G	60		
WP_003512919.1	K09685	purR; purine operon repressor	147		
WP_003512921.1	K01924	murC; UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	275		
WP_003512922.1	K02372	fabZ; 3-hydroxyacyl-[acyl-carrier-protein] dehydratase [EC:4.2.1.59]	91		
WP_003512924.1	K02003	ABC.CD.A; putative ABC transport system ATP-binding protein	14	K05685	2
WP_003512926.1			55		
WP_003512928.1	K02395	flgJ; flagellar protein FlgJ	19		
WP_003512930.1	K02392	flgG; flagellar basal-body rod protein FlgG	148		
WP_003512932.1	K02392	flgG; flagellar basal-body rod protein FlgG	124		
WP_003512937.1	K06283	"spoIIID; putative DeoR family transcriptional regulator, stage III sporulation protein D"	54		
WP_003512939.1			58		
WP_003512944.1	K00790	murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]	395		
WP_003512946.1			27	K03307	1
WP_003512947.1			28	K01342	1
WP_003512950.1			157		
WP_003512952.1			40	K01181	1
WP_003512954.1			14	K06183	1
WP_003512956.1	K02114	ATPF1E; F-type H+-transporting ATPase subunit epsilon	63		
WP_003512963.1	K02111	ATPF1A; F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14]	358		
WP_003512965.1	K02113	ATPF1D; F-type H+-transporting ATPase subunit delta	51		
WP_003512967.1	K02109	ATPF0B; F-type H+-transporting ATPase subunit b	42		
WP_003512969.1	K02110	ATPF0C; F-type H+-transporting ATPase subunit c	36		
WP_003512970.1	K02108	ATPF0A; F-type H+-transporting ATPase subunit a	124		
WP_003512977.1	K01493	comEB; dCMP deaminase [EC:3.5.4.12]	112		
WP_003512981.1	K01808	rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]	101		
WP_003512983.1	K01104	E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]	29	K20201	9
WP_003512987.1	K07238	"TC.ZIP; zinc transporter, ZIP family"	101		
WP_003512988.1	K02835	prfA; peptide chain release factor 1	256		
WP_003512989.1			9	K03466	1
WP_003512990.1			5	K10716	1
WP_003512991.1			138		
WP_003512995.1	K07045	uncharacterized protein	167		
WP_003513001.1	K00950	folK; 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase [EC:2.7.6.3]	114		
WP_003513007.1			222	K00001	20
WP_003513009.1			136		
WP_003513010.1			16	K11875	1
WP_003513011.1	K02051	ABC.SN.S; NitT/TauT family transport system substrate-binding protein	180		
WP_003513012.1	K02050	ABC.SN.P; NitT/TauT family transport system permease protein	207		
WP_003513013.1	K02049	ABC.SN.A; NitT/TauT family transport system ATP-binding protein	181		
WP_003513014.1			39	K11751	1
WP_003513015.1			190	K19983	1
WP_003513016.1			9	K06928	1
WP_003513019.1			36	K08618	1
WP_003513022.1			65	K03470	1
WP_003513023.1	K00978	rfbF; glucose-1-phosphate cytidylyltransferase [EC:2.7.7.33]	170		
WP_003513025.1	K01790	"rfbC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]"	101	K15857	4
WP_003513026.1	K12452	"ascC; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"	328		
WP_003513028.1			120		
WP_003513046.1			111		
WP_003513047.1			119		
WP_003513053.1			110		
WP_003513065.1			120		
