Protein_Accession	MD5	Seq_Len	Analysis	Signature_Accession	Signature_Descr	Start_location	Stop_location	Score (Eval)	Match	Date	InterPro_annot	InterPro_desc	GO_annot	Pathways_annot
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	PRINTS	PR01038	Arginyl-tRNA synthetase signature	167	180	1.10E-20	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	PRINTS	PR01038	Arginyl-tRNA synthetase signature	128	143	1.10E-20	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Gene3D	G3DSA:3.30.1360.70		4	112	4.90E-31	T	20-06-2018	IPR036695	Arginyl tRNA synthetase N-terminal domain superfamily	GO:0000166|GO:0004814|GO:0005524|GO:0005737|GO:0006420	KEGG: 00970+6.1.1.19
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	SMART	SM01016		10	99	2.10E-33	T	20-06-2018	IPR005148	Arginyl tRNA synthetase N-terminal domain	GO:0000166|GO:0004814|GO:0005524|GO:0005737|GO:0006420	KEGG: 00970+6.1.1.19|Reactome: R-HSA-2408517|Reactome: R-HSA-379716
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Pfam	PF03485	Arginyl tRNA synthetase N terminal domain	14	99	5.80E-25	T	20-06-2018	IPR005148	Arginyl tRNA synthetase N-terminal domain	GO:0000166|GO:0004814|GO:0005524|GO:0005737|GO:0006420	KEGG: 00970+6.1.1.19|Reactome: R-HSA-2408517|Reactome: R-HSA-379716
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	SUPERFAMILY	SSF47323		439	564	3.27E-35	T	20-06-2018	IPR009080	"Aminoacyl-tRNA synthetase, class Ia, anticodon-binding"	GO:0000166|GO:0004812|GO:0005524|GO:0006418	
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	SMART	SM00836		444	564	1.80E-55	T	20-06-2018	IPR008909	DALR anticodon binding	GO:0004814|GO:0005524|GO:0006420	
WP_003513911.1	599d7833b65f6b4dbf1cc2ddc022fd45	564	Hamap	MF_00123	Arginine--tRNA ligase [argS].	14	564	26.208	T	20-06-2018	IPR001278	Arginine-tRNA ligase	GO:0004814|GO:0005524|GO:0006420	KEGG: 00970+6.1.1.19
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	PIRSF	PIRSF001455		3	358	4.30E-113	T	20-06-2018	IPR030963	3-dehydroquinate synthase family	GO:0009073|GO:0016838	KEGG: 00400+4.2.3.4|MetaCyc: PWY-6164
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	PANTHER	PTHR43622		1	355	3.60E-116	T	20-06-2018				
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	Hamap	MF_00110	3-dehydroquinate synthase [aroB].	1	355	67.652	T	20-06-2018	IPR016037	3-dehydroquinate synthase AroB	GO:0003856|GO:0005737|GO:0009073	KEGG: 00400+4.2.3.4|MetaCyc: PWY-6164
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	Gene3D	G3DSA:1.20.1090.10		173	360	8.10E-62	T	20-06-2018				
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	CDD	cd08195	DHQS	12	352	0	T	20-06-2018				
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	SUPERFAMILY	SSF56796		4	352	8.77E-104	T	20-06-2018				
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	Pfam	PF01761	3-dehydroquinate synthase	67	323	6.50E-101	T	20-06-2018	IPR030960	3-dehydroquinate synthase domain		KEGG: 00400+4.2.3.4|MetaCyc: PWY-6164
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	PANTHER	PTHR43622:SF1		1	355	3.60E-116	T	20-06-2018				
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	TIGRFAM	TIGR01357	aroB: 3-dehydroquinate synthase	15	351	3.90E-115	T	20-06-2018	IPR016037	3-dehydroquinate synthase AroB	GO:0003856|GO:0005737|GO:0009073	KEGG: 00400+4.2.3.4|MetaCyc: PWY-6164
WP_003516363.1	f59fc26f5c89c52d40c5cfc02c66d1b5	360	Gene3D	G3DSA:3.40.50.1970		4	172	1.80E-44	T	20-06-2018				
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	PANTHER	PTHR11761		1	121	2.90E-51	T	20-06-2018	IPR000218	Ribosomal protein L14P	GO:0003735|GO:0005840|GO:0006412	
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	PANTHER	PTHR11761:SF3		1	121	2.90E-51	T	20-06-2018				
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	Hamap	MF_01367	50S ribosomal protein L14 [rplN].	1	122	27.116	T	20-06-2018	IPR000218	Ribosomal protein L14P	GO:0003735|GO:0005840|GO:0006412	
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	SMART	SM01374		1	122	1.20E-88	T	20-06-2018	IPR000218	Ribosomal protein L14P	GO:0003735|GO:0005840|GO:0006412	
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	Pfam	PF00238	Ribosomal protein L14p/L23e	1	122	2.60E-56	T	20-06-2018	IPR000218	Ribosomal protein L14P	GO:0003735|GO:0005840|GO:0006412	
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	Gene3D	G3DSA:2.40.150.20		1	122	3.90E-54	T	20-06-2018	IPR036853	Ribosomal protein L14P superfamily	GO:0003735|GO:0005840|GO:0006412	
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	TIGRFAM	TIGR01067	rplN_bact: ribosomal protein uL14	1	122	5.20E-59	T	20-06-2018	IPR005745	"Ribosomal protein L14P, bacterial-type"	GO:0003735|GO:0006412|GO:0015934	
WP_003514643.1	f3c057ffbaeebbb756a1a2cf837e7caa	122	SUPERFAMILY	SSF50193		1	122	9.03E-53	T	20-06-2018	IPR036853	Ribosomal protein L14P superfamily	GO:0003735|GO:0005840|GO:0006412	
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	CDD	cd01284	Riboflavin_deaminase-reductase	11	123	2.03E-57	T	20-06-2018				
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	TIGRFAM	TIGR00326	eubact_ribD: riboflavin biosynthesis protein RibD	11	363	8.60E-115	T	20-06-2018	IPR004794	Riboflavin biosynthesis protein RibD	GO:0008835|GO:0009231|GO:0055114	KEGG: 00740+3.5.4.26+1.1.1.193
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	TIGRFAM	TIGR00227	ribD_Cterm: riboflavin-specific deaminase C-terminal domain	150	365	5.30E-67	T	20-06-2018	IPR011549	"Riboflavin-specific deaminase, C-terminal"	GO:0008703|GO:0009231|GO:0050661|GO:0055114	
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	PIRSF	PIRSF006769		3	368	1.20E-138	T	20-06-2018	IPR004794	Riboflavin biosynthesis protein RibD	GO:0008835|GO:0009231|GO:0055114	KEGG: 00740+3.5.4.26+1.1.1.193
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	Gene3D	G3DSA:3.40.430.10		129	367	2.00E-75	T	20-06-2018	IPR024072	Dihydrofolate reductase-like domain superfamily		Reactome: R-HSA-196757
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	PANTHER	PTHR44288		5	365	7.40E-127	T	20-06-2018				
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	SUPERFAMILY	SSF53927		8	146	4.89E-46	T	20-06-2018	IPR016193	Cytidine deaminase-like	GO:0003824	
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	Pfam	PF00383	Cytidine and deoxycytidylate deaminase zinc-binding region	6	103	1.80E-19	T	20-06-2018	IPR002125	Cytidine and deoxycytidylate deaminase domain		
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	ProSiteProfiles	PS51747	Cytidine and deoxycytidylate deaminases domain profile.	5	127	22.696	T	20-06-2018	IPR002125	Cytidine and deoxycytidylate deaminase domain		
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	Gene3D	G3DSA:3.40.140.10		2	128	5.80E-34	T	20-06-2018				
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	SUPERFAMILY	SSF53597		149	366	4.83E-62	T	20-06-2018	IPR024072	Dihydrofolate reductase-like domain superfamily		Reactome: R-HSA-196757
WP_003512104.1	bd58b44e446fe190002283565861e0e9	368	Pfam	PF01872	RibD C-terminal domain	151	362	8.60E-53	T	20-06-2018	IPR002734	"Bacterial bifunctional deaminase-reductase, C-terminal"	GO:0008703|GO:0009231|GO:0055114	
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	ProSitePatterns	PS00455	Putative AMP-binding domain signature.	484	495	-	T	20-06-2018	IPR020845	"AMP-binding, conserved site"		
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	SUPERFAMILY	SSF51658		1	249	4.42E-43	T	20-06-2018	IPR036237	Xylose isomerase-like superfamily		
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Pfam	PF00501	AMP-binding enzyme	303	734	1.30E-110	T	20-06-2018	IPR000873	AMP-dependent synthetase/ligase	GO:0003824|GO:0008152	
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Pfam	PF13193	AMP-binding enzyme C-terminal domain	743	818	7.60E-19	T	20-06-2018	IPR025110	"AMP-binding enzyme, C-terminal domain"		
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Pfam	PF01261	Xylose isomerase-like TIM barrel	21	219	1.60E-21	T	20-06-2018	IPR013022	"Xylose isomerase-like, TIM barrel domain"		
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	CDD	cd05917	FACL_like_2	479	825	0	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	SUPERFAMILY	SSF56801		293	830	1.57E-157	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Gene3D	G3DSA:2.30.38.10		643	726	2.40E-28	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Gene3D	G3DSA:3.40.50.980		295	488	3.40E-40	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	PANTHER	PTHR43201		286	833	1.90E-177	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	PANTHER	PTHR43201:SF9		286	833	1.90E-177	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Gene3D	G3DSA:3.40.50.980		489	642	6.80E-50	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Gene3D	G3DSA:3.30.300.30		727	829	2.50E-27	T	20-06-2018				
WP_003520602.1	094ab1400fa85b9872f38f643bc0a71a	843	Gene3D	G3DSA:3.20.20.150		1	267	2.10E-41	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	Gene3D	G3DSA:3.30.70.260		86	152	3.20E-05	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	SUPERFAMILY	SSF55021		89	151	4.81E-06	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	PANTHER	PTHR21499		8	151	6.80E-16	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	CDD	cd04891	ACT_AK-LysC-DapG-like_1	16	76	4.09E-10	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	SUPERFAMILY	SSF55021		2	79	7.45E-12	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	Gene3D	G3DSA:3.30.70.260		1	83	1.50E-10	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	PANTHER	PTHR21499:SF3		8	151	6.80E-16	T	20-06-2018				
WP_003518661.1	b27abe871749cc3afeeacf06a7751143	152	Coils	Coil		75	95	-	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Pfam	PF03764	"Elongation factor G, domain IV"	473	591	2.70E-43	T	20-06-2018	IPR005517	"Translation elongation factor EFG/EF2, domain IV"	GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	SMART	SM00838		593	681	4.30E-41	T	20-06-2018	IPR000640	"Elongation factor EFG, domain V-like"		
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	PRINTS	PR00315	GTP-binding elongation factor signature	93	104	1.20E-08	T	20-06-2018	IPR000795	"Transcription factor, GTP-binding domain"	GO:0003924|GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	PRINTS	PR00315	GTP-binding elongation factor signature	11	24	1.20E-08	T	20-06-2018	IPR000795	"Transcription factor, GTP-binding domain"	GO:0003924|GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	PRINTS	PR00315	GTP-binding elongation factor signature	129	138	1.20E-08	T	20-06-2018	IPR000795	"Transcription factor, GTP-binding domain"	GO:0003924|GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	PRINTS	PR00315	GTP-binding elongation factor signature	77	87	1.20E-08	T	20-06-2018	IPR000795	"Transcription factor, GTP-binding domain"	GO:0003924|GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Coils	Coil		200	220	-	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	CDD	cd03713	EFG_mtEFG_C	596	674	2.67E-38	T	20-06-2018	IPR035649	"EFG, domain V"		
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	TIGRFAM	TIGR00231	small_GTP: small GTP-binding protein domain	8	178	4.10E-22	T	20-06-2018	IPR005225	Small GTP-binding protein domain	GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	SUPERFAMILY	SSF52540		7	276	8.08E-90	T	20-06-2018	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Gene3D	G3DSA:2.40.30.10		282	393	3.40E-32	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	CDD	cd01434	EFG_mtEFG1_IV	477	591	7.67E-65	T	20-06-2018	IPR005517	"Translation elongation factor EFG/EF2, domain IV"	GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Pfam	PF00679	Elongation factor G C-terminus	593	680	2.30E-29	T	20-06-2018	IPR000640	"Elongation factor EFG, domain V-like"		
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	PANTHER	PTHR43261		6	688	1.10E-289	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	CDD	cd04088	EFG_mtEFG_II	304	385	2.55E-38	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	SUPERFAMILY	SSF54980		396	474	1.73E-22	T	20-06-2018	IPR035647	EF-G domain III/V-like		
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	CDD	cd16262	EFG_III	399	474	2.41E-37	T	20-06-2018	IPR009022	"Elongation factor G, domain III"		
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	CDD	cd04170	EF-G_bact	11	277	1.72E-130	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	ProSiteProfiles	PS51722	Translational (tr)-type guanine nucleotide-binding (G) domain profile.	7	278	49.306	T	20-06-2018	IPR000795	"Transcription factor, GTP-binding domain"	GO:0003924|GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Pfam	PF03144	Elongation factor Tu domain 2	318	385	7.50E-10	T	20-06-2018	IPR004161	"Translation elongation factor EFTu-like, domain 2"	GO:0005525	
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Gene3D	G3DSA:3.40.50.300		1	281	2.00E-53	T	20-06-2018				
WP_003515850.1	ad69f958d8b3042f17813a5f8326afc7	695	Gene3D	G3DSA:3.30.70.870		394	485	9.40E-31	T	20-06-2018				
